"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"58";"3";"1 332,84";"-5,75";"-229,93";"-224,41";"";"";"-5,52";"";"";"5,17";"-";"-59,82";"-608,13";"-113,68";"";"315,53";"315,53";"429,21";"";"23,67";"277,56";"7 770";"17,25";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"54";"";"1 078,92";"-6,2";"-171,1";"-165,25";"";"";"-5,85";"";"";"";"-";"";"-375,31";"-177,66";"";"348,65";"348,65";"526,31";"";"32,31";"196,25";"3 097";"15,86";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"46";"2";"1 057,08";"-1,15";"-185,34";"-185,34";"";"";"";"";"";"4,35";"";"-39,88";"-382,96";"-161";"";"286,75";"286,75";"447,75";"";"27,13";"178,11";"8 762";"17,53";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"21";"1";"335,58";"";"";"";"";"";"";"";"";"4,76";"100";"-8,88";"-326,23";"-104,79";"";"-104,32";"-104,32";"-4,52";"";"-31,09";"-99,55";"60 745";"";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"21";"1";"356,58";"";"-68,3";"-66,5";"";"";"-1,8";"";"";"4,76";"100";"-10,75";"-161,43";"-41,79";"";"74,31";"74,31";"112,12";"";"20,84";"177,82";"8 852";"19,15";"";""
"NewEleven Wedding Gifts For Couples 2025 - Funny Wedding Card For Bride And Groom, Newly Wed Gifts For Couple - Meaningful Present From Friend And Family - Greeting Card COG: 0,39 / Price: 4,99";"B0FC6DQZCQ";"DP-MOZ6-JMS1";"21";"";"104,79";"-2,25";"";"";"";"";"";"";"";"";"-";"";"-74,05";"-8,19";"";"20,30";"20,30";"28,49";"";"19,37";"247,86";"14 602";"";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"17";"";"322,66";"";"-36,75";"-36,75";"";"";"";"";"";"";"-";"";"-123,85";"-44,03";"";"118,03";"118,03";"162,06";"";"36,58";"268,07";"18 950";"11,39";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"15";"";"299,7";"-8";"-50,67";"-50,67";"";"";"";"";"";"";"-";"";"-96,39";"-53,4";"";"91,24";"91,24";"144,64";"";"30,44";"170,86";"7 591";"16,91";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 19,98";"B0DH88L44J";"3E-J0TV-6W9S";"15";"1";"299,7";"";"-63,62";"-63,62";"";"";"";"";"";"6,67";"100";"-15,46";"-135,79";"-67,2";"";"17,63";"17,63";"80,35";"";"5,88";"26,24";"14 787";"21,23";"";""
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card COG: 0,46 / Price: 9,99";"B0F2TDMHFC";"LT-01MF-LZ2N";"14";"";"139,86";"";"-23,94";"-23,94";"";"";"";"";"";"";"100";"0,46";"-55,16";"-6,44";"";"54,78";"54,78";"60,76";"";"39,17";"850,62";"16 175";"17,12";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"13";"";"207,74";"";"-42,01";"-37,41";"-4,6";"";"";"";"";"";"-";"";"-93,21";"-33,54";"";"38,98";"38,98";"72,52";"";"18,76";"116,22";"27 126";"20,22";"";""
