"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"41";"1";"942,18";"";"-138,35";"-125,69";"";"";"-12,66";"";"";"2,44";"-";"-19,94";"-341,27";"-80,36";"";"362,26";"362,26";"442,62";"";"38,45";"450,80";"9 473";"14,68";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"35";"";"699,3";"";"-101,89";"-92,4";"";"";"-9,49";"";"";"";"100";"3,29";"-260,46";"-115,15";"";"225,09";"225,09";"336,95";"";"32,19";"195,48";"3 736";"14,57";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"29";"";"666,42";"";"-133,69";"-133,69";"";"";"";"";"";"";"-";"";"-241,37";"-101,5";"";"189,86";"189,86";"291,36";"";"28,49";"187,05";"13 541";"20,06";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"14";"1";"307,72";"";"-32,47";"-32,47";"";"";"";"";"";"7,14";"-";"-19,08";"-108,5";"-45,64";"";"102,03";"102,03";"147,67";"";"33,16";"223,55";"3 737";"10,55";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 18,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"19";"";"360,62";"";"-83,7";"-73,41";"";"";"-10,29";"";"";"";"-";"";"-153,12";"-37,81";"";"85,99";"85,99";"123,8";"";"23,85";"227,43";"10 417";"23,21";"";""
"NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,31 / Price: 19,98";"B0DH87FYNN";"UM-NFPU-HUFM";"11";"";"219,78";"";"-16,11";"-16,11";"";"";"";"";"";"";"-";"";"-81,85";"-36,41";"";"85,41";"85,41";"121,82";"";"38,86";"234,58";"3 737";"7,33";"";""
"NewEleven 40th Birthday Gifts For Women - 40s Birthday Decorations For Women - 40 Year Old Gifts For Her, Sister, Mom, Daughter, Best Friend - In My Forties Era Wine Tumbler - 12 Oz Tumbler COG: 3,21 / Price: 17,98";"B0CYS94K31";"75-LNB7-IBAL";"13";"";"233,74";"-12,59";"-4,3";"-4,3";"";"";"";"";"";"";"-";"";"-90,52";"-41,73";"";"84,60";"84,60";"126,33";"";"36,19";"202,73";"10 493";"1,84";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Him, Her - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH86X93V";"Z0-L1YB-49DF";"10";"";"199,8";"";"-13,32";"-13,32";"";"";"";"";"";"";"-";"";"-74,41";"-32,9";"";"79,17";"79,17";"112,07";"";"39,62";"240,64";"3 737";"6,67";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98";"B0BYCT1SRJ";"LH-BSSY-KKX9";"14";"";"223,72";"";"-18,33";"-18,33";"";"";"";"";"";"";"-";"";"-106,51";"-31,22";"";"67,66";"67,66";"98,88";"";"30,24";"216,72";"34 137";"8,19";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"19";"";"322,62";"";"-58,68";"-57,03";"";"";"-1,65";"";"";"";"-";"";"-132,42";"-64,41";"";"67,11";"67,11";"131,52";"";"20,80";"104,19";"10 493";"18,19";"";""
