(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,283,6,4.82%,6.45%,435,7,5.71%,6.14%,100.00%,100.00%,77,0,27.21%,0.00%,"$1,769.46",$0.00,70,0
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,157,2,2.68%,2.15%,186,2,2.44%,1.75%,100.00%,0.00%,43,1,27.39%,50.00%,$859.14,$19.98,43,1
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,145,4,2.47%,4.30%,206,5,2.70%,4.39%,100.00%,0.00%,29,0,20.00%,0.00%,$492.42,$0.00,29,0
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,181,4,3.08%,4.30%,286,4,3.75%,3.51%,100.00%,100.00%,30,1,16.57%,25.00%,$689.40,$22.98,29,1
B0FJYFJ3WN,B0F18PVLJ1,"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler",WD-3UXP-TSPV,136,1,2.32%,1.08%,224,2,2.94%,1.75%,100.00%,100.00%,24,0,17.65%,0.00%,$551.52,$0.00,24,0
B0FFH2DPYK,B08R8PXYL6,"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler",ZG-6MPB-F5JV,64,2,1.09%,2.15%,84,2,1.10%,1.75%,100.00%,100.00%,23,1,35.94%,50.00%,$459.54,$19.98,22,1
B0DKDWHJ2P,B0CRVTN11L,"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass",Y1-7KOS-V5KR,143,4,2.44%,4.30%,167,6,2.19%,5.26%,76.69%,100.00%,22,1,15.38%,25.00%,$351.56,$15.98,22,1
B0FG7QMV1Y,B0D7HMXCSP,"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle",UB-TA3P-4YBQ,99,1,1.69%,1.08%,126,2,1.65%,1.75%,100.00%,100.00%,21,0,21.21%,0.00%,$335.58,$0.00,19,0
B0FCLHRJ36,B0FCLHRJ36,"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card",0M-ATAJ-MC5Y,154,1,2.62%,1.08%,223,1,2.93%,0.88%,100.00%,0.00%,19,0,12.34%,0.00%,$189.81,$0.00,19,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,81,1,1.38%,1.08%,109,1,1.43%,0.88%,100.00%,100.00%,19,1,23.46%,100.00%,$417.62,$21.98,18,1
