"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"43";"1";"859,14";"";"-178,86";"-178,86";"";"";"";"";"";"2,33";"100";"-7,47";"-294,3";"-141,47";"";"237,04";"237,04";"368,64";"";"27,59";"167,55";"3 461";"20,82";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"30";"";"479,4";"-1,6";"-111,79";"-111,79";"";"";"";"";"";"";"100";"2,8";"-219,67";"-84";"";"65,14";"65,14";"146,34";"";"13,59";"77,55";"8 823";"23,32";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"26";"";"519,48";"-16";"-134,72";"-134,72";"";"";"";"";"";"";"-";"";"-190,8";"-92,56";"";"85,40";"85,40";"177,96";"";"16,44";"92,26";"7 294";"25,93";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 0";"B0F18CMJ3L";"CU-4EWE-9UH1";"26";"";"574,5";"";"-130,23";"-130,23";"";"";"";"";"";"";"-";"";"-208,27";"-50,96";"";"185,04";"185,04";"236";"";"32,21";"363,11";"11 030";"22,67";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"23";"";"528,54";"";"-128,8";"-128,8";"";"";"";"";"";"";"-";"";"-191,45";"-80,5";"";"127,79";"127,79";"208,29";"";"24,18";"158,75";"15 180";"24,37";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"22";"2";"373,56";"";"-85,47";"-85,47";"";"";"";"";"";"9,09";"50";"-27,73";"-169,17";"-43,78";"";"47,41";"47,41";"89,2";"";"12,69";"108,29";"10 440";"22,88";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"21";"2";"482,58";"-2,3";"-54,54";"-54,54";"";"";"";"";"";"9,52";"100";"-34,68";"-167,1";"-88,41";"";"135,55";"135,55";"219,75";"";"28,09";"153,32";"20 017";"11,30";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"21";"1";"335,58";"-1,6";"";"";"";"";"";"";"";"4,76";"-";"-13,87";"-159,75";"-104,79";"";"55,57";"55,57";"160,36";"";"16,56";"53,03";"76 833";"";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"21";"";"461,58";"";"-104,13";"-104,13";"";"";"";"";"";"";"-";"";"-162,81";"-68,46";"";"126,18";"126,18";"194,64";"";"27,34";"184,31";"3 461";"22,56";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"20";"";"379,6";"";"-88,76";"-88,76";"";"";"";"";"";"";"-";"";"-145,67";"-51,8";"";"93,37";"93,37";"145,17";"";"24,60";"180,25";"17 626";"23,38";"";""
