(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FG7PKPXP,B0DWN3SH33,"NewEleven Nurse Gifts For Women, Nursing Student, Nurses Practitioner, Registered Nurse - Gifts For Nurses From Friend, Family And Coworker - 16 Oz Coffee Glass",C0-X5FU-OU85,13,0,0.25%,0.00%,14,0,0.21%,0.00%,100.00%,0.00%,2,0,15.38%,0.00%,$19.98,$0.00,2,0
B0FJDY1LNS,B0F189PXWB,"NewEleven Retirement Gift For Woman 2025 - Farewell Gifts For Coworkers, Boss, Friend, Teacher, Grandma - Coworker Leaving Gifts For Women From Friend, Family - Tumbler 12 Oz",L4-F4C9-QOS5,11,0,0.21%,0.00%,13,0,0.19%,0.00%,100.00%,0.00%,2,0,18.18%,0.00%,$45.96,$0.00,2,0
B0FHKT7T9Q,B0F2T4JDF7,"NewEleven Birthday Gifts For Mom, Funny Card Gifts For Mom, Awesome Mommy Present From Daughter, Best Mother's Day Gift Idea For Wife, Sister - Humorous Greeting Card",AU-GMLU-KG6Z,21,0,0.41%,0.00%,21,0,0.31%,0.00%,94.74%,0.00%,2,0,9.52%,0.00%,$19.98,$0.00,2,0
B0F9WD297S,B0F59YVGWG,"NewEleven Funny Dad Birthday Gift from Daughter, Son, Kids – Humorous Card for Daddy, Bonus Dad, Father-in-Law – Great for Father’s Day, Birthday, Just Because – Sentimental Greeting Card",8P-L50D-6IVR,7,0,0.14%,0.00%,7,0,0.10%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,$15.98,$0.00,2,0
B0FJXFZZV2,B0F6M1XX87,"NewEleven Coworker Gifts For Women, Men - Funny Best Friend Present For Work Bestie, Boss, Friends - Gift For Boss, Employer, Bestfriend Gag Gift From Colleague, Friends - 20 Oz Tumbler",51-MNGA-I4QG,40,0,0.78%,0.00%,53,0,0.78%,0.00%,100.00%,0.00%,2,0,5.00%,0.00%,$33.96,$0.00,2,0
B0FFGT9TWF,B0F7XCP31P,"NewEleven Gift For Brother - Brother Birthday Gifts, Christian Gifts For Little, Adult Bro, Sibling - Meaningful Gift For Brothers From Sister, Family - Bible Jar",JB-RJTD-OQ2R,39,1,0.76%,1.43%,49,2,0.72%,2.25%,100.00%,100.00%,2,0,5.13%,0.00%,$37.96,$0.00,2,0
B0FFGT9TWF,B0F8VPS7QN,"NewEleven Best Friend Birthday Gifts For Women - Best Friend Gift For Her, Him - Bestie Gift, Christian Present From Friends - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse",FY-G9UN-GE5E,19,0,0.37%,0.00%,21,0,0.31%,0.00%,100.00%,0.00%,2,0,10.53%,0.00%,$35.96,$0.00,2,0
B0FFGT9TWF,B0FBQZZK71,"NewEleven Gifts For Grandma - Christian Gift, Nana Gift, Grandma Birthday Gifts From Granddaughter, Grandson, Kids - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse",RW-PY02-EIMY,41,0,0.80%,0.00%,55,0,0.81%,0.00%,100.00%,0.00%,2,0,4.88%,0.00%,$35.96,$0.00,2,0
B0FH6R5YTH,B0FC62VRRC,"NewEleven Best Friend Gift - Funny Card, Best Friend Birthday Gifts For Women, Her, Girls - Bestie Present, Meaningful Gift From Friends - Greeting Card",OF-YAJT-Y5A4,46,1,0.89%,1.43%,48,1,0.71%,1.12%,100.00%,0.00%,2,0,4.35%,0.00%,$11.98,$0.00,2,0
B0FH6R5YTH,B0FC65ZB93,"NewEleven Gift For Boss - Thank You Boss Gifts For Women, Men, Leader - Meaningful Present, Appreciation Gifts For Boss From Coworker, Staff - Greeting Card",S6-VP1K-5XOQ,21,0,0.41%,0.00%,24,0,0.35%,0.00%,100.00%,0.00%,2,0,9.52%,0.00%,$11.98,$0.00,2,0
