"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"23";"";"459,54";"";"-98,87";"-98,87";"";"";"";"";"";"";"";"";"-171,14";"-75,67";"";"113,86";"113,86";"189,53";"";"24,78";"150,47";"2 589";"21,51";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"21";"";"482,58";"";"-60,64";"-60,64";"";"";"";"";"";"";"-";"";"-174,78";"-41,16";"";"206,00";"206,00";"247,16";"";"42,69";"500,49";"7 112";"12,57";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"16";"1";"255,68";"";"-85,56";"-85,56";"";"";"";"";"";"6,25";"-";"-13,87";"-121,84";"-44,8";"";"-10,39";"-10,39";"34,41";"";"-4,06";"-23,19";"8 272";"33,46";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"13";"1";"220,74";"";"-42,14";"-42,14";"";"";"";"";"";"7,69";"-";"-14";"-99,87";"-25,87";"";"38,86";"38,86";"64,73";"";"17,60";"150,21";"8 297";"19,09";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"12";"";"227,76";"-0,95";"-70,34";"-70,34";"";"";"";"";"";"";"";"";"-87,21";"-31,08";"";"38,18";"38,18";"69,26";"";"16,76";"122,84";"16 695";"30,88";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98";"B08R8PXYL6";"ZG-6MPB-F5JV";"11";"";"219,78";"";"-28,52";"-28,52";"";"";"";"";"";"";"-";"";"-81,81";"-36,41";"";"73,04";"73,04";"109,45";"";"33,23";"200,60";"9 347";"12,98";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"11";"";"219,78";"-2";"-108,8";"-108,8";"";"";"";"";"";"";"100";"3,56";"-86,03";"-39,16";"";"-12,65";"-12,65";"22,95";"";"-5,76";"-32,30";"6 530";"49,50";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"11";"";"175,78";"";"-13,41";"-13,41";"";"";"";"";"";"";"-";"";"-78,74";"-28,38";"";"55,25";"55,25";"83,63";"";"31,43";"194,68";"22 130";"7,63";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"11";"";"252,78";"";"-51,68";"-51,68";"";"";"";"";"";"";"-";"";"-91,55";"-38,5";"";"71,05";"71,05";"109,55";"";"28,11";"184,55";"12 112";"20,44";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"10";"";"229,8";"";"-31,05";"-31,05";"";"";"";"";"";"";"-";"";"-79,74";"-42,1";"";"76,91";"76,91";"119,01";"";"33,47";"182,68";"21 508";"13,51";"";""
"NewEleven 30th Birthday Gifts For Her Women - 1995 30th Birthday Decorations For Woman - 30 Year Old Gifts Idea For Friends, Sister - 16 Oz Coffee Glass COG: 2,11 / Price: 15,98";"B0DGGDN9WS";"SZ-GAM6-6BB0";"9";"";"143,82";"";"-16,96";"-16,96";"";"";"";"";"";"";"-";"";"-67,68";"-18,99";"";"40,19";"40,19";"59,18";"";"27,94";"211,64";"8 297";"11,79";"";""
"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card COG: 0,39 / Price: 7,99";"B0FC69XTZ9";"B4-IRKZ-AKKE";"9";"";"71,91";"";"-40,77";"-40,77";"";"";"";"";"";"";"-";"";"-32,4";"-3,51";"";"-4,77";"-4,77";"-1,26";"";"-6,63";"-135,90";"7 110";"56,70";"";""
"NewEleven Daughter Birthday Gifts - Gifts For Daughter, Daughters In Law - Daughters Birthday Gift Ideas From Mom, Dad - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,44 / Price: 17,98";"B0F13VCCMP";"CG-9LUS-K14G";"8";"";"143,84";"-0,9";"";"";"";"";"";"";"";"";"-";"";"-56,87";"-19,52";"";"66,55";"66,55";"86,07";"";"46,27";"340,93";"16 695";"";"";""
"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card COG: 0 / Price: 9,99";"B0FCLHRJ36";"0M-ATAJ-MC5Y";"8";"";"79,92";"";"-46,79";"-46,79";"";"";"";"";"";"";"-";"";"-13,2";"";"";"19,93";"19,93";"19,93";"";"24,94";"";"95 933";"58,55";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"7";"";"160,86";"";"-57,28";"-57,28";"";"";"";"";"";"";"-";"";"-55,8";"-28,98";"";"18,80";"18,80";"47,78";"";"11,69";"64,87";"14 311";"35,61";"";""
