"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"30";"";"689,4";"-2,3";"-93,81";"-93,81";"";"";"";"";"";"";"-";"";"-249,63";"-58,8";"";"284,86";"284,86";"343,66";"";"41,32";"484,46";"9 539";"13,61";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"26";"1";"519,48";"";"-127,7";"-127,7";"";"";"";"";"";"3,85";"100";"-10,58";"-193,56";"-85,54";"";"102,10";"102,10";"184,35";"";"19,65";"119,36";"3 009";"24,58";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"20";"";"399,6";"-12";"-77,34";"-77,34";"";"";"";"";"";"";"-";"";"-149,22";"-74,76";"";"86,28";"86,28";"161,04";"";"21,59";"115,41";"7 170";"19,35";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"19";"";"287,64";"-3,2";"-40,7";"-40,7";"";"";"";"";"";"";"-";"";"-132,59";"-49,02";"";"62,13";"62,13";"111,15";"";"21,60";"126,74";"20 469";"14,15";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98";"B0BYCT1SRJ";"LH-BSSY-KKX9";"17";"";"271,66";"-9,43";"-28,06";"-28,06";"";"";"";"";"";"";"-";"";"-128";"-37,91";"";"68,26";"68,26";"106,17";"";"25,13";"180,06";"30 673";"10,33";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"15";"";"344,7";"";"-40,88";"-40,88";"";"";"";"";"";"";"-";"";"-119,45";"-63,15";"";"121,22";"121,22";"184,37";"";"35,17";"191,96";"22 200";"11,86";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"14";"1";"223,72";"";"-64,04";"-64,04";"";"";"";"";"";"7,14";"-";"-13,18";"-106,62";"-39,2";"";"0,68";"0,68";"39,88";"";"0,30";"1,73";"9 228";"28,63";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"13";"";"285,74";"";"-60,42";"-60,42";"";"";"";"";"";"";"-";"";"-100,84";"-42,38";"";"82,10";"82,10";"124,48";"";"28,73";"193,72";"3 011";"21,15";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"13";"";"298,74";"";"-77,53";"-77,53";"";"";"";"";"";"";"-";"";"-108,43";"-45,5";"";"67,28";"67,28";"112,78";"";"22,52";"147,87";"12 580";"25,95";"";""
"NewEleven Birthday Gifts For Women - Christian Gifts For Women, Her, Friends - Appreciation Present From Friend, Family - Decorative Glass Inspirational Scripture Jar With 92 Bible Verse COG: 2,62 / Price: 16,98";"B0F6M3X7LG";"9Y-C7LJ-8AVP";"11";"";"186,78";"";"-16,87";"-16,87";"";"";"";"";"";"";"-";"";"-73,81";"-28,82";"";"67,28";"67,28";"96,1";"";"36,02";"233,45";"15 307";"9,03";"";""
