"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"53";"2";"1 217,94";"-3,45";"-109,58";"-109,58";"";"";"";"";"";"3,77";"100";"-36,93";"-440,44";"-103,88";"";"523,66";"523,66";"625,58";"";"43,00";"504,10";"11 452";"9,00";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"49";"";"1 126,02";"";"-159,74";"-159,74";"";"";"";"";"";"";"-";"";"-407,81";"-171,5";"";"386,97";"386,97";"558,47";"";"34,37";"225,64";"18 232";"14,19";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"47";"";"939,06";"";"-102,6";"-102,6";"";"";"";"";"";"";"100";"3,29";"-349,73";"-154,63";"";"335,39";"335,39";"486,73";"";"35,72";"216,90";"3 679";"10,93";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"28";"";"475,44";"";"-37,81";"-37,81";"";"";"";"";"";"";"-";"";"-215,13";"-55,72";"";"166,78";"166,78";"222,5";"";"35,08";"299,32";"11 488";"7,95";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"25";"";"499,5";"-5";"-86,1";"-86,1";"";"";"";"";"";"";"-";"";"-195,45";"-89";"";"123,95";"123,95";"212,95";"";"24,81";"139,27";"7 641";"17,24";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"21";"";"398,58";"";"-63,51";"-63,51";"";"";"";"";"";"";"-";"";"-152,9";"-54,39";"";"127,78";"127,78";"182,17";"";"32,06";"234,93";"17 544";"15,93";"";""
"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card COG: 0,42 / Price: 6,99";"B0FC5SSDXK";"D0-B6A7-C5GP";"21";"";"146,79";"";"-10,3";"-10,3";"";"";"";"";"";"";"-";"";"-72,28";"-8,82";"";"55,39";"55,39";"64,21";"";"37,73";"628,00";"20 331";"7,02";"";""
"NewEleven Women - Friend Gifts Ornaments 2025 - Friendship Gifts for Friends, Birthday Gift for Women, Besties, Soul Sisters - Ceramic Christmas Ornaments COG: 0,91 / Price: 4,99";"B0DK16MCXG";"JC-JJYR-OWD3";"18";"";"89,82";"";"";"";"";"";"";"";"";"";"-";"";"-56,32";"-16,38";"";"17,12";"17,12";"33,5";"";"19,06";"104,52";"295 073";"";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"17";"";"271,66";"";"";"";"";"";"";"";"";"";"-";"";"-129,38";"-84,83";"";"57,45";"57,45";"142,28";"";"21,15";"67,72";"87 308";"";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"15";"";"344,7";"";"-74";"-74";"";"";"";"";"";"";"100";"13,44";"-155,7";"-67,2";"";"61,24";"61,24";"115";"";"17,77";"91,13";"21 022";"21,47";"";""
