"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"47";"1";"939,06";"-0,99";"-159,94";"-152,44";"";"";"-7,5";"";"";"2,13";"-";"-17,34";"-349,68";"-154,63";"";"256,48";"256,48";"411,11";"";"27,31";"165,87";"3 319";"17,03";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"41";"6";"942,18";"";"-167,49";"-157,89";"";"";"-9,6";"";"";"14,63";"100";"-117,68";"-341,51";"-80,36";"";"235,14";"235,14";"313,54";"";"24,96";"292,61";"8 028";"17,78";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 17,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"27";"";"485,46";"-1,8";"-102,76";"-93,07";"";"";"-9,69";"";"";"";"-";"";"-212,43";"-53,73";"";"114,74";"114,74";"168,47";"";"23,64";"213,55";"9 710";"21,17";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"27";"";"620,46";"-1,15";"-213,94";"-213,94";"";"";"";"";"";"";"-";"";"-224,78";"-94,5";"";"86,09";"86,09";"180,59";"";"13,88";"91,10";"10 613";"34,48";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"24";"2";"528,54";"-6,43";"-91,78";"-91,78";"";"";"";"";"";"8,33";"-";"-39,88";"-237,9";"-107,52";"";"45,03";"45,03";"152,55";"";"8,52";"41,88";"16 102";"17,36";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"19";"";"379,62";"-9";"-85,94";"-85,94";"";"";"";"";"";"";"-";"";"-127,63";"-67,64";"";"89,41";"89,41";"157,05";"";"23,55";"132,19";"6 791";"22,64";"";""
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card COG: 0,46 / Price: 9,99";"B0F2TDMHFC";"LT-01MF-LZ2N";"17";"";"169,83";"";"-26,83";"-26,83";"";"";"";"";"";"";"-";"";"-66,98";"-7,82";"";"68,20";"68,20";"76,02";"";"40,16";"872,12";"12 614";"15,80";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"16";"";"255,68";"";"";"";"";"";"";"";"";"";"-";"";"-121,88";"-79,84";"";"53,96";"53,96";"133,8";"";"21,10";"67,59";"73 540";"";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"15";"";"254,7";"";"-56,11";"-56,11";"";"";"";"";"";"";"-";"";"-104,5";"-50,85";"";"43,24";"43,24";"94,09";"";"16,98";"85,03";"10 352";"22,03";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98";"B0BYCT1SRJ";"LH-BSSY-KKX9";"13";"";"207,74";"-1,6";"-27,49";"-27,49";"";"";"";"";"";"";"-";"";"-98,66";"-28,99";"";"51,00";"51,00";"79,99";"";"24,55";"175,92";"30 247";"13,23";"";""
"NewEleven Wedding Gifts For Couples 2025 - Funny Wedding Card For Bride And Groom, Newly Wed Gifts For Couple - Meaningful Present From Friend And Family - Greeting Card COG: 0,39 / Price: 4,99";"B0FC6DQZCQ";"DP-MOZ6-JMS1";"13";"";"64,87";"-1";"";"";"";"";"";"";"";"";"-";"";"-46,57";"-5,07";"";"12,23";"12,23";"17,3";"";"18,85";"241,22";"17 878";"";"";""
