(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,134,4,3.13%,9.30%,173,4,3.18%,8.51%,100.00%,100.00%,28,0,20.90%,0.00%,$559.44,$0.00,25,0
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,143,1,3.34%,2.33%,188,1,3.45%,2.13%,100.00%,0.00%,23,0,16.08%,0.00%,$528.54,$0.00,23,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,63,0,1.47%,0.00%,80,0,1.47%,0.00%,100.00%,0.00%,22,1,34.92%,0.00%,$483.56,$21.98,19,1
B0FFH2DPYK,B08R8PXYL6,"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler",ZG-6MPB-F5JV,50,0,1.17%,0.00%,62,0,1.14%,0.00%,100.00%,0.00%,20,1,40.00%,0.00%,$399.60,$19.98,17,1
B0FG7QMV1Y,B0D7HMXCSP,"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle",UB-TA3P-4YBQ,59,0,1.38%,0.00%,82,0,1.51%,0.00%,100.00%,0.00%,15,0,25.42%,0.00%,$239.70,$0.00,15,0
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,115,1,2.69%,2.33%,171,1,3.14%,2.13%,100.00%,0.00%,15,0,13.04%,0.00%,$254.70,$0.00,15,0
B0FJYFJ3WN,B0F18PVLJ1,"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler",WD-3UXP-TSPV,64,0,1.50%,0.00%,96,0,1.76%,0.00%,100.00%,0.00%,16,0,25.00%,0.00%,$367.68,$0.00,15,0
B0FCLHRJ36,B0FCLHRJ36,"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card",0M-ATAJ-MC5Y,122,0,2.85%,0.00%,174,0,3.19%,0.00%,100.00%,0.00%,15,0,12.30%,0.00%,$149.85,$0.00,15,0
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,104,0,2.43%,0.00%,151,0,2.77%,0.00%,100.00%,0.00%,15,0,14.42%,0.00%,$321.72,$0.00,13,0
B0FH6R5YTH,B0FC69Q8BS,"NewEleven Retirement Gift For Woman, Men - Heartfelt Message, Retirement Card For Boss, Friend - Coworker Leaving Gifts For Women From Friends, Colleague - Greeting Card",ZB-KCAW-W2E3,115,0,2.69%,0.00%,144,0,2.64%,0.00%,100.00%,0.00%,13,0,11.30%,0.00%,$77.87,$0.00,13,0
