"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"73";"";"1 677,54";"-6,9";"-184,11";"-184,11";"";"";"";"";"";"";"100";"1,96";"-607,14";"-143,08";"";"738,27";"738,27";"879,39";"";"44,01";"515,98";"6 530";"10,97";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"53";"2";"1 058,94";"-3";"-276,66";"-276,66";"";"";"";"";"";"3,77";"100";"-24,81";"-394,03";"-174,37";"";"186,07";"186,07";"350,57";"";"17,57";"106,71";"2 706";"26,13";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"35";"";"804,3";"";"-144,55";"-144,55";"";"";"";"";"";"";"-";"";"-363,85";"-156,8";"";"139,10";"139,10";"295,9";"";"17,29";"88,71";"11 279";"17,97";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"35";"";"804,3";"-3,45";"-221,17";"-221,17";"";"";"";"";"";"";"100";"3,5";"-290,99";"-122,5";"";"169,69";"169,69";"288,69";"";"21,10";"138,52";"14 351";"27,50";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"27";"1";"431,46";"-1,6";"";"";"";"";"";"";"";"3,70";"100";"1,1";"-205,45";"-134,73";"";"90,78";"90,78";"210,54";"";"21,04";"67,38";"61 246";"";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 0";"B0DGGDX9P5";"EI-6RN9-0Z0A";"27";"";"441,48";"";"-91,87";"-91,87";"";"";"";"";"";"";"100";"1,99";"-199,89";"-53,73";"";"97,98";"97,98";"149,72";"";"22,19";"182,36";"7 657";"20,81";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"26";"1";"597,48";"";"-129,6";"-129,6";"";"";"";"";"";"3,85";"100";"-11,66";"-207,12";"-107,64";"";"141,46";"141,46";"240,82";"";"23,68";"131,42";"16 088";"21,69";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 19,66";"B0CRVTN11L";"Y1-7KOS-V5KR";"24";"1";"367,54";"";"-80,29";"-80,29";"";"";"";"";"";"4,17";"100";"-8,27";"-175,19";"-67,2";"";"36,59";"36,59";"98,19";"";"9,96";"54,45";"10 559";"21,85";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"24";"1";"527,52";"-2,2";"-89,14";"-89,14";"";"";"";"";"";"4,17";"";"-19,08";"-185,89";"-78,24";"";"152,97";"152,97";"231,21";"";"29,00";"195,51";"2 706";"16,90";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"24";"";"455,52";"";"-102,26";"-102,26";"";"";"";"";"";"";"-";"";"-174,81";"-62,16";"";"116,29";"116,29";"178,45";"";"25,53";"187,08";"19 358";"22,45";"";""
