"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"49";"";"1 126,02";"-4,6";"-169,77";"-160,88";"";"";"-8,89";"";"";"";"-";"";"-407,43";"-96,04";"";"448,18";"448,18";"544,22";"";"39,80";"466,66";"7 089";"15,08";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"48";"";"959,04";"";"-135,48";"-127,52";"";"";"-7,96";"";"";"";"100";"3,29";"-357,23";"-157,92";"";"311,70";"311,70";"466,33";"";"32,50";"197,38";"3 459";"14,13";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"26";"";"597,48";"";"-209,96";"-209,96";"";"";"";"";"";"";"-";"";"-216,59";"-91";"";"79,93";"79,93";"170,93";"";"13,38";"87,84";"9 195";"35,14";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 17,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"23";"";"413,54";"";"-76,38";"-71,3";"";"";"-5,08";"";"";"";"-";"";"-181,57";"-45,77";"";"109,82";"109,82";"155,59";"";"26,56";"239,94";"8 814";"18,47";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"22";"1";"439,56";"-9";"-89,31";"-89,31";"";"";"";"";"";"4,55";"100";"-12,91";"-151,18";"-78,32";"";"98,84";"98,84";"173,6";"";"22,49";"126,20";"7 892";"20,32";"";""
"NewEleven Class Of 2025 Graduation Gifts For Her, Friends - Funny Master Degree, College Graduation Gifts From Friends And Family - 16 Oz Coffee Glass COG: 2,3 / Price: 9,99";"B0DWMZXCZP";"UZ-8P0A-GPKD";"21";"";"209,79";"";"-8,66";"-8,66";"";"";"";"";"";"";"-";"";"-123,65";"-48,3";"";"29,18";"29,18";"77,48";"";"13,91";"60,41";"77 300";"4,13";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"15";"";"344,7";"";"-11,1";"-11,1";"";"";"";"";"";"";"-";"";"-119,46";"-63,15";"";"150,99";"150,99";"214,14";"";"43,80";"239,10";"24 586";"3,22";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"14";"1";"223,72";"-0,8";"";"";"";"";"";"";"";"7,14";"-";"-13,87";"-106,57";"-69,86";"";"32,62";"32,62";"102,48";"";"14,58";"46,69";"63 063";"";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"14";"1";"265,72";"";"-36,23";"-36,23";"";"";"";"";"";"7,14";"100";"-13,88";"-101,97";"-36,26";"";"77,38";"77,38";"111,05";"";"29,12";"213,40";"18 269";"13,63";"";""
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,63 / Price: 19,98";"B092HNBJT6";"W7-BHYY-1NZC";"13";"";"259,74";"-2";"-18,88";"-18,88";"";"";"";"";"";"";"-";"";"-96,42";"-60,19";"";"82,25";"82,25";"142,44";"";"31,67";"136,65";"27 995";"7,27";"";""
