"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"53";"";"1 058,94";"";"-149,45";"-149,45";"";"";"";"";"";"";"100";"6,58";"-394,41";"-174,37";"";"347,29";"347,29";"515,08";"";"32,80";"199,17";"2 971";"14,11";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"24";"";"551,52";"";"-80,76";"-80,76";"";"";"";"";"";"";"100";"4,48";"-249,08";"-107,52";"";"118,64";"118,64";"221,68";"";"21,51";"110,34";"12 522";"14,64";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"23";"1";"528,54";"";"-92,4";"-92,4";"";"";"";"";"";"4,35";"100";"-17,98";"-191,42";"-45,08";"";"181,66";"181,66";"224,78";"";"34,37";"402,97";"8 973";"17,48";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"21";"";"398,58";"";"-82,62";"-82,62";"";"";"";"";"";"";"-";"";"-152,91";"-54,39";"";"108,66";"108,66";"163,05";"";"27,26";"199,78";"17 626";"20,73";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"20";"1";"439,6";"";"-58,13";"-58,13";"";"";"";"";"";"5,00";"-";"-15,26";"-155,01";"-65,2";"";"146,00";"146,00";"211,2";"";"33,21";"223,93";"2 971";"13,22";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"18";"1";"287,64";"";"-85,74";"-85,74";"";"";"";"";"";"5,56";"-";"-13,87";"-137";"-50,4";"";"0,63";"0,63";"51,03";"";"0,22";"1,25";"8 823";"29,81";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"17";"";"390,66";"";"-53,87";"-53,87";"";"";"";"";"";"";"-";"";"-135,65";"-71,57";"";"129,57";"129,57";"201,14";"";"33,17";"181,04";"21 205";"13,79";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"16";"";"367,68";"-1,15";"-104,37";"-104,37";"";"";"";"";"";"";"100";"3,5";"-132,96";"-56";"";"76,70";"76,70";"129,2";"";"20,86";"136,96";"15 180";"28,39";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"15";"1";"299,7";"-4";"-70,34";"-70,34";"";"";"";"";"";"6,67";"100";"-21,8";"-117,11";"-53,4";"";"33,05";"33,05";"82,89";"";"11,03";"61,89";"6 783";"23,47";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"15";"";"239,7";"";"";"";"";"";"";"";"";"";"100";"4,99";"-114,17";"-74,85";"";"55,67";"55,67";"125,53";"";"23,22";"74,38";"76 833";"";"";""
