"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"60";"2";"1 378,8";"-8,05";"-174,3";"-169,88";"";"-4,42";"";"";"";"3,33";"100";"-36,93";"-498,66";"-117,6";"";"543,26";"543,26";"658,9";"";"39,40";"461,96";"11 452";"12,64";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"50";"2";"999";"";"-181,86";"-177,22";"";"-4,64";"";"";"";"4,00";"100";"-30,52";"-372,26";"-164,5";"";"249,86";"249,86";"411,07";"";"25,01";"151,89";"3 679";"18,20";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"50";"2";"1 149";"-11,49";"-266,73";"-266,73";"";"";"";"";"";"4,00";"-";"-39,88";"-415,09";"-175";"";"240,81";"240,81";"415,81";"";"20,96";"137,61";"18 232";"23,21";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"30";"1";"509,4";"";"-60,34";"-60,34";"";"";"";"";"";"3,33";"-";"-14,73";"-230,76";"-59,7";"";"143,87";"143,87";"203,57";"";"28,24";"240,99";"11 488";"11,85";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"26";"";"519,48";"-12";"-109,46";"-109,46";"";"";"";"";"";"";"-";"";"-177,09";"-96,12";"";"124,81";"124,81";"220,93";"";"24,03";"129,85";"7 641";"21,07";"";""
"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card COG: 0,42 / Price: 6,99";"B0FC5SSDXK";"D0-B6A7-C5GP";"22";"";"153,78";"";"-15,79";"-15,79";"";"";"";"";"";"";"-";"";"-75,83";"-9,24";"";"52,92";"52,92";"62,16";"";"34,41";"572,73";"20 331";"10,27";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"21";"";"398,58";"-0,95";"-71,72";"-71,72";"";"";"";"";"";"";"-";"";"-152,83";"-54,39";"";"118,69";"118,69";"173,08";"";"29,78";"218,22";"17 544";"17,99";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"18";"";"287,64";"";"";"";"";"";"";"";"";"";"-";"";"-137,15";"-89,82";"";"60,67";"60,67";"150,49";"";"21,09";"67,55";"87 308";"";"";""
"NewEleven Women - Friend Gifts Ornaments 2025 - Friendship Gifts for Friends, Birthday Gift for Women, Besties, Soul Sisters - Ceramic Christmas Ornaments COG: 0,91 / Price: 4,99";"B0DK16MCXG";"JC-JJYR-OWD3";"18";"";"89,82";"-4,19";"";"";"";"";"";"";"";"";"-";"";"-48,23";"-20,93";"";"16,47";"16,47";"37,4";"";"18,34";"78,69";"295 073";"";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"17";"1";"390,66";"";"-116,77";"-116,77";"";"";"";"";"";"5,88";"100";"-6,5";"-176,79";"-76,16";"";"14,44";"14,44";"77,16";"";"3,70";"18,96";"21 022";"29,89";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"16";"";"255,68";"";"-54,67";"-54,67";"";"";"";"";"";"";"-";"";"-121,86";"-44,8";"";"34,35";"34,35";"79,15";"";"13,43";"76,67";"11 496";"21,38";"";""
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card COG: 0,46 / Price: 9,99";"B0F2TDMHFC";"LT-01MF-LZ2N";"15";"";"149,85";"";"-35,4";"-35,4";"";"";"";"";"";"";"-";"";"-59,1";"-6,9";"";"48,45";"48,45";"55,35";"";"32,33";"702,17";"12 039";"23,62";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"14";"";"223,72";"-4,96";"-47,16";"-47,16";"";"";"";"";"";"";"-";"";"-99,72";"-36,12";"";"35,76";"35,76";"71,88";"";"15,98";"99,00";"22 247";"21,08";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"13";"";"220,74";"";"-50,96";"-50,96";"";"";"";"";"";"";"-";"";"-90,6";"-44,07";"";"35,11";"35,11";"79,18";"";"15,91";"79,67";"11 758";"23,09";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98";"B08R8PXYL6";"ZG-6MPB-F5JV";"12";"1";"239,76";"";"-35,44";"-35,44";"";"";"";"";"";"8,33";"-";"-17,34";"-89,35";"-39,72";"";"57,91";"57,91";"97,63";"";"24,15";"145,80";"11 758";"14,78";"";""
"NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler COG: 3,31 / Price: 21,98";"B0DH7X6R1J";"YJ-F5N3-DGJ5";"12";"1";"263,76";"";"-46,51";"-46,51";"";"";"";"";"";"8,33";"-";"-19,08";"-93,1";"-39,72";"";"65,35";"65,35";"105,07";"";"24,78";"164,53";"3 679";"17,63";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"11";"1";"252,78";"";"-28,81";"-28,81";"";"";"";"";"";"9,09";"100";"-15,73";"-87,75";"-46,31";"";"74,18";"74,18";"116,28";"";"29,35";"160,18";"20 618";"11,40";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"9";"1";"206,82";"";"-75,55";"-75,55";"";"";"";"";"";"11,11";"-";"-19,94";"-71,7";"-37,26";"";"2,37";"2,37";"39,63";"";"1,15";"6,36";"22 480";"36,53";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98";"B0BYCT1SRJ";"LH-BSSY-KKX9";"9";"";"143,82";"";"-50,38";"-50,38";"";"";"";"";"";"";"-";"";"-68,55";"-20,07";"";"4,82";"4,82";"24,89";"";"3,35";"24,02";"30 717";"35,03";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"9";"1";"197,82";"";"-61,27";"-61,27";"";"";"";"";"";"11,11";"-";"-19,08";"-69,78";"-29,34";"";"18,35";"18,35";"47,69";"";"9,28";"62,54";"3 679";"30,97";"";""
"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card COG: 0,39 / Price: 7,99";"B0FC69XTZ9";"B4-IRKZ-AKKE";"9";"";"71,91";"";"-24,14";"-24,14";"";"";"";"";"";"";"-";"";"-32,46";"-3,51";"";"11,80";"11,80";"15,31";"";"16,41";"336,18";"8 153";"33,57";"";""
"NewEleven House Warming Gifts, New Home Ornament 2025, Dream Home Gift Ideas Decor - Welcome Home Gifts, Housewarming Gift New Home, Best Housewarming Presents 2025 - Glass Ornament COG: 2,33 / Price: 9,99";"B0DPM5JXP7";"BK-7AQP-YXO7";"8";"";"79,92";"";"-11,66";"-11,66";"";"";"";"";"";"";"-";"";"-36,32";"-18,64";"";"13,30";"13,30";"31,94";"";"16,64";"71,35";"97 459";"14,59";"";""
"NewEleven Retirement Gift For Woman - Retirement Card For Women, Men, Boss - Funny Retirements Gifts For Men, Farewell Gifts For Coworkers From Work Bestie, Colleague - Greeting Card COG: 0,39 / Price: 5,99";"B0FC69R4PK";"A9-HSHI-ATQO";"8";"";"47,92";"";"-20,37";"-20,37";"";"";"";"";"";"";"-";"";"-26,29";"-3,12";"";"-1,86";"-1,86";"1,26";"";"-3,88";"-59,62";"8 153";"42,51";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Kids - Husband Gift - Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,44 / Price: 19,98";"B0CM5RJ8VD";"1J-71GS-RJFC";"7";"";"139,86";"";"";"";"";"";"";"";"";"";"-";"";"-52,1";"-24,08";"";"63,68";"63,68";"87,76";"";"45,53";"264,45";"7 641";"";"";""
"NewEleven Gifts For Husband - Husband Birthday Gift, Christian Gift For Him, Husbands - Anniversary Present For Him Hubby From Wife, Her - Decorative Glass Scripture Jar With 92 Bible Verse COG: 0 / Price: 17,98";"B0FC61VF9P";"5Y-ELMB-DGUB";"7";"";"125,86";"-4,5";"-77,19";"-77,19";"";"";"";"";"";"";"-";"";"-47,34";"";"";"-3,17";"-3,17";"-3,17";"";"-2,52";"";"17 542";"61,33";"";""
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,63 / Price: 19,98";"B092HNBJT6";"W7-BHYY-1NZC";"6";"";"119,88";"";"-33,46";"-33,46";"";"";"";"";"";"";"-";"";"-44,68";"-27,78";"";"13,96";"13,96";"41,74";"";"11,64";"50,25";"34 361";"27,91";"";""
"NewEleven Gifts For Mom - Birthday Gifts For Mom From Kids – Unique Birthday Present Ideas For Mother, New Mom, Mom To Be, Wife From Daughter, Son, Husband - 16 Oz Coffee Glass COG: 2,25 / Price: 16,98";"B0C9BZRC4K";"YM-PHWT-7K9Y";"6";"1";"101,88";"";"-22,95";"-22,95";"";"";"";"";"";"16,67";"-";"-14,73";"-46,71";"-13,5";"";"3,99";"3,99";"17,49";"";"3,92";"29,56";"35 423";"22,53";"";""
"NewEleven Gifts For Him - Fishing Gifts For Men, Dad, Fisherman, Father - Practical Gift, Dad Birthday Present, Men, Husband - 20 Oz Tumbler COG: 3,66 / Price: 17,98";"B0CY4MC1GJ";"YJ-23CQ-KDB5";"6";"";"107,88";"";"-32,51";"-32,51";"";"";"";"";"";"";"-";"";"-45,22";"-21,96";"";"8,19";"8,19";"30,15";"";"7,59";"37,30";"19 531";"30,14";"";""
"NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,31 / Price: 19,98";"B0DH87FYNN";"UM-NFPU-HUFM";"6";"";"119,88";"";"-35,39";"-35,39";"";"";"";"";"";"";"-";"";"-44,67";"-19,86";"";"19,96";"19,96";"39,82";"";"16,65";"100,50";"3 679";"29,52";"";""
"NewEleven 40th Birthday Gifts for Men Women - 1985 40 Year Old Gifts for Men, Women, Dad, Mom, Husband, Wife - Retro Trucker Hat COG: 1,89 / Price: 16,98";"B0DHC932W2";"HO-F3TN-5J1L";"6";"";"101,88";"";"-25,25";"-25,25";"";"";"";"";"";"";"-";"";"-50,77";"-11,34";"";"14,52";"14,52";"25,86";"";"14,25";"128,04";"145 943";"24,78";"";""
"NewEleven 70th Birthday Gifts For Men Women - 1955 70th Birthday Decorations - Gifts For Men Women Turning 70-70 Year Old Gifts For Man, Woman - 20 Oz Tumbler COG: 3,32 / Price: 19,98";"B0DHCGTL3R";"DF-AWOB-F9BG";"6";"";"119,88";"";"-16,32";"-16,32";"";"";"";"";"";"";"-";"";"-44,67";"-19,92";"";"38,97";"38,97";"58,89";"";"32,51";"195,63";"3 679";"13,61";"";""
"NewEleven Engagement Gifts for Couples 2025 - Gift for Newly Engaged Couples, Happy Engagement Gifts for Her, Women, Friends, Bride to Be Gift, Glass Ornament COG: 1,8 / Price: 9,99";"B0DRT3MK34";"87-ARXM-YV1I";"6";"";"59,94";"";"-17,12";"-17,12";"";"";"";"";"";"";"-";"";"-25,27";"-10,8";"";"6,75";"6,75";"17,55";"";"11,26";"62,50";"97 459";"28,56";"";""
"NewEleven Gift For Teachers - Teacher Appreciation Gifts For Women, New Teachers - Teacher Gifts For Women From Student, Friends, Family And Coworker - 20 Oz Tumbler COG: 3,42 / Price: 12,98";"B0DYDZFRZD";"4E-EG59-NN41";"6";"";"77,88";"-1,3";"-20,33";"-20,33";"";"";"";"";"";"";"-";"";"-37,49";"-20,52";"";"-1,76";"-1,76";"18,76";"";"-2,26";"-8,58";"76 040";"26,10";"";""
"NewEleven Gifts For Grandma - Christian Gift, Nana Gift, Grandma Birthday Gifts From Granddaughter, Grandson, Kids - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 0 / Price: 17,98";"B0FBQZZK71";"RW-PY02-EIMY";"6";"";"107,88";"";"-44,17";"-44,17";"";"";"";"";"";"";"-";"";"-45,22";"";"";"18,49";"18,49";"18,49";"";"17,14";"";"17 544";"40,94";"";""
"NewEleven Gifts For Aunt - Aunt Birthday Gifts From Niece, Newphew, Kids - Auntie Gift Ideas, Christian Gift For Aunt, Auntie - Decorative Glass Scripture Jar With 92 Bible Verse COG: 1,97 / Price: 16,98";"B0FBRBL1CQ";"O8-51RP-7R9U";"6";"";"101,88";"";"";"";"";"";"";"";"";"";"-";"";"-40,26";"-11,82";"";"49,80";"49,80";"61,62";"";"48,88";"421,32";"17 544";"";"";""
"NEWELEVEN Valentines Gifts For Men - Aprons For Men With Pockets - Funny Gifts For Him - BBQ Kitchen Chef Apron COG: 3,54 / Price: 15,98";"B08ZYGT8SH";"QV-HPXT-L8DT";"5";"";"79,9";"";"-14,96";"-14,96";"";"";"";"";"";"";"100";"3,54";"-37,86";"-17,7";"";"12,92";"12,92";"27,08";"";"16,17";"72,99";"37 672";"18,72";"";""
"NewEleven 30th Birthday Gifts For Women - 30s Birthday Decorations - 30 Year Old Gifts For Her, Woman, Sister, Mom, Daughter, Best Friend - In My Thirties Era Glass - 16 Oz Coffee Glass COG: 2,1 / Price: 15,98";"B0CYPT8HM7";"C9-FSMU-8JV2";"5";"";"79,9";"";"-17,7";"-17,7";"";"";"";"";"";"";"-";"";"-37,62";"-10,5";"";"14,08";"14,08";"24,58";"";"17,62";"134,10";"11 488";"22,15";"";""
