"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"80";"1";"1 838,4";"-2,3";"-213,65";"-213,65";"";"";"";"";"";"1,25";"100";"-16,99";"-666,17";"-156,8";"";"782,49";"782,49";"937,33";"";"42,56";"499,04";"";"11,62";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"58";"4";"1 158,84";"-2";"-303,26";"-303,26";"";"";"";"";"";"6,90";"50";"-66,21";"-431,44";"-190,82";"";"165,11";"165,11";"352,64";"";"14,25";"86,53";"";"26,17";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"36";"";"827,28";"";"-234,34";"-234,34";"";"";"";"";"";"";"-";"";"-299,91";"-126";"";"167,03";"167,03";"293,03";"";"20,19";"132,56";"";"28,33";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"35";"1";"804,3";"";"-117,09";"-117,09";"";"";"";"";"";"2,86";"50";"-15,46";"-363,85";"-156,8";"";"151,10";"151,10";"303,42";"";"18,79";"96,36";"";"14,56";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"26";"2";"415,48";"";"-85,56";"-85,56";"";"";"";"";"";"7,69";"50";"-22,16";"-198";"-72,8";"";"36,96";"36,96";"106,96";"";"8,90";"50,77";"";"20,59";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"22";"";"373,56";"";"-95,58";"-95,58";"";"";"";"";"";"";"-";"";"-169,11";"-43,78";"";"65,09";"65,09";"108,87";"";"17,42";"148,68";"";"25,59";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"21";"1";"335,58";"-2,4";"";"";"";"";"";"";"";"4,76";"-";"-13,87";"-159,6";"-104,79";"";"54,92";"54,92";"159,71";"";"16,37";"52,41";"";"";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"21";"3";"461,58";"";"-59,88";"-59,88";"";"";"";"";"";"14,29";"-";"-55,33";"-162,99";"-68,46";"";"114,92";"114,92";"183,38";"";"24,90";"167,86";"";"12,97";"";""
"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card COG: 0,39 / Price: 7,99";"B0FC69XTZ9";"B4-IRKZ-AKKE";"17";"";"135,83";"-1,2";"-67,88";"-67,88";"";"";"";"";"";"";"-";"";"-61,07";"-6,63";"";"-0,95";"-0,95";"5,68";"";"-0,70";"-14,33";"";"49,97";"";""
"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card COG: 0 / Price: 9,99";"B0FCLHRJ36";"0M-ATAJ-MC5Y";"16";"";"159,84";"";"-203,13";"-203,13";"";"";"";"";"";"";"-";"";"-76,32";"";"";"-119,61";"-119,61";"-119,61";"";"-74,83";"";"";"127,08";"";""
