"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"19";"";"436,62";"-2,3";"-25,93";"-22,72";"";"";"-3,21";"";"";"";"-";"";"-157,72";"-37,24";"";"213,43";"213,43";"250,67";"";"48,88";"573,12";"8 653";"5,94";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"14";"";"321,72";"";"-25,15";"-25,15";"";"";"";"";"";"";"-";"";"-116,47";"-49";"";"131,10";"131,10";"180,1";"";"40,75";"267,55";"12 136";"7,82";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"12";"";"239,76";"";"-19,93";"-17,73";"";"";"-2,2";"";"";"";"-";"";"-89,28";"-39,48";"";"91,07";"91,07";"130,55";"";"37,98";"230,67";"3 818";"8,31";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"10";"1";"159,8";"";"-4,86";"-4,86";"";"";"";"";"";"10,00";"-";"-13,87";"-76,1";"-28";"";"36,97";"36,97";"64,97";"";"23,14";"132,04";"14 221";"3,04";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"8";"";"135,84";"";"-2,06";"-2,06";"";"";"";"";"";"";"-";"";"-55,76";"-27,12";"";"50,90";"50,90";"78,02";"";"37,47";"187,68";"10 977";"1,52";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"8";"";"127,84";"";"";"";"";"";"";"";"";"";"-";"";"-60,88";"-39,92";"";"27,04";"27,04";"66,96";"";"21,15";"67,74";"77 779";"";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 18,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"8";"";"151,84";"";"-19,25";"-18,2";"";"";"-1,05";"";"";"";"-";"";"-64,48";"-15,92";"";"52,19";"52,19";"68,11";"";"34,37";"327,83";"9 402";"12,68";"";""
"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card COG: 0,42 / Price: 6,99";"B0FC5SSDXK";"D0-B6A7-C5GP";"8";"";"55,92";"";"-13,11";"-13,11";"";"";"";"";"";"";"-";"";"-27,52";"-3,36";"";"11,93";"11,93";"15,29";"";"21,33";"355,06";"20 664";"23,44";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"6";"";"137,88";"";"-4,76";"-4,76";"";"";"";"";"";"";"-";"";"-62,22";"-26,88";"";"44,02";"44,02";"70,9";"";"31,93";"163,76";"23 090";"3,45";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"6";"";"113,88";"";"-16,6";"-16,6";"";"";"";"";"";"";"-";"";"-43,68";"-15,54";"";"38,06";"38,06";"53,6";"";"33,42";"244,92";"19 010";"14,58";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"5";"";"114,9";"";"-3,1";"-3,1";"";"";"";"";"";"";"-";"";"-39,9";"-21,05";"";"50,85";"50,85";"71,9";"";"44,26";"241,57";"24 740";"2,70";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"5";"";"114,9";"";"-11,52";"-11,52";"";"";"";"";"";"";"-";"";"-39,9";"-20,7";"";"42,78";"42,78";"63,48";"";"37,23";"206,67";"23 382";"10,03";"";""
"NewEleven Retirement Gift For Woman - Retirement Card For Women, Men, Boss - Funny Retirements Gifts For Men, Farewell Gifts For Coworkers From Work Bestie, Colleague - Greeting Card COG: 0,39 / Price: 5,99";"B0FC69R4PK";"A9-HSHI-ATQO";"5";"";"29,95";"";"";"";"";"";"";"";"";"";"-";"";"-16,45";"-1,95";"";"11,55";"11,55";"13,5";"";"38,56";"592,31";"9 083";"";"";""
"NewEleven Gifts For Godmother - Will You Be My Godmother From GodChild - Pregnancy Announcement Gifts For God Mother, Godmom, Godparents - 16 Oz Coffee Glass COG: 2,15 / Price: 14,98";"B0CJ2CKDR8";"SE-AHQ6-UUXA";"4";"";"59,92";"";"";"";"";"";"";"";"";"";"-";"";"-29,82";"-8,6";"";"21,50";"21,50";"30,1";"";"35,88";"250,00";"54 331";"";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98";"B08R8PXYL6";"ZG-6MPB-F5JV";"3";"";"59,94";"";"-0,27";"-0,27";"";"";"";"";"";"";"-";"";"-22,3";"-9,93";"";"27,44";"27,44";"37,37";"";"45,78";"276,33";"10 574";"0,45";"";""
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,63 / Price: 19,98";"B092HNBJT6";"W7-BHYY-1NZC";"3";"";"59,94";"";"-7,08";"-7,08";"";"";"";"";"";"";"-";"";"-22,32";"-13,89";"";"16,65";"16,65";"30,54";"";"27,78";"119,87";"31 664";"11,81";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Aunt, New Auntie, Sister - Aunty Birthday Gift, Announcement, Promoted To Auntie, Best Aunty Ever - 20 Oz Tumbler COG: 3,83 / Price: 15,98";"B0C9D2PHMH";"GX-USB4-E6T8";"3";"";"47,94";"";"";"";"";"";"";"";"";"";"-";"";"-21,46";"-11,49";"";"14,99";"14,99";"26,48";"";"31,27";"130,46";"22 342";"";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"3";"";"47,94";"";"-1,1";"-1,1";"";"";"";"";"";"";"-";"";"-21,48";"-7,74";"";"17,62";"17,62";"25,36";"";"36,75";"227,65";"23 914";"2,29";"";""
"NewEleven Gifts For Him - Fishing Gifts For Men, Dad, Fisherman, Father - Practical Gift, Dad Birthday Present, Men, Husband - 20 Oz Tumbler COG: 3,66 / Price: 17,98";"B0CY4MC1GJ";"YJ-23CQ-KDB5";"3";"";"53,94";"";"-6,7";"-6,7";"";"";"";"";"";"";"-";"";"-22,62";"-10,98";"";"13,64";"13,64";"24,62";"";"25,29";"124,23";"22 342";"12,42";"";""
"NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler COG: 3,31 / Price: 21,98";"B0DH7X6R1J";"YJ-F5N3-DGJ5";"3";"";"65,94";"";"-6,8";"-6,8";"";"";"";"";"";"";"-";"";"-23,25";"-9,93";"";"25,96";"25,96";"35,89";"";"39,37";"261,43";"3 818";"10,31";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"3";"";"65,94";"";"-6,2";"-6,2";"";"";"";"";"";"";"-";"";"-23,25";"-9,78";"";"26,71";"26,71";"36,49";"";"40,51";"273,11";"3 818";"9,40";"";""
"NewEleven Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 1,99 / Price: 16,98";"B0DVSKXLS5";"UI-VXIT-1YW7";"3";"";"50,94";"";"-1,05";"-1,05";"";"";"";"";"";"";"-";"";"-20,91";"-5,97";"";"23,01";"23,01";"28,98";"";"45,17";"385,43";"18 537";"2,06";"";""
"NewEleven Best Friends Gift - Heartfelt Message, Birthday Card For Friend - Best Friend Birthday Gifts For Women, Men, Meaningful Gift From Friends - Greeting Card COG: 0,39 / Price: 7,99";"B0FC6158DB";"6B-3XRW-U6OQ";"3";"";"23,97";"";"";"";"";"";"";"";"";"";"-";"";"-10,8";"-1,17";"";"12,00";"12,00";"13,17";"";"50,06";"1 025,64";"9 083";"";"";""
"NewEleven Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron COG: 3,92 / Price: 12,98";"B08CDFWN1Q";"T7-POTQ-PD13";"2";"";"25,96";"";"";"";"";"";"";"";"";"";"-";"";"-10,64";"-7,84";"";"7,48";"7,48";"15,32";"";"28,81";"95,41";"35 563";"";"";""
"NewEleven 30th Birthday Gifts For Women - 30s Birthday Decorations - 30 Year Old Gifts For Her, Woman, Sister, Mom, Daughter, Best Friend - In My Thirties Era Glass - 16 Oz Coffee Glass COG: 2,1 / Price: 15,98";"B0CYPT8HM7";"C9-FSMU-8JV2";"2";"";"31,96";"";"";"";"";"";"";"";"";"";"-";"";"-15,04";"-4,2";"";"12,72";"12,72";"16,92";"";"39,80";"302,86";"9 460";"";"";""
"NewEleven 40th Birthday Gifts For Women - 40s Birthday Decorations For Women - 40 Year Old Gifts For Her, Sister, Mom, Daughter, Best Friend - In My Forties Era Wine Tumbler - 12 Oz Tumbler COG: 3,21 / Price: 17,98";"B0CYS94K31";"75-LNB7-IBAL";"2";"";"35,96";"";"-2,4";"-2,4";"";"";"";"";"";"";"-";"";"-14,26";"-6,42";"";"12,88";"12,88";"19,3";"";"35,82";"200,62";"10 977";"6,67";"";""
"NewEleven 30th Birthday Gifts For Her Women - 1995 30th Birthday Decorations For Woman - 30 Year Old Gifts Idea For Friends, Sister - 16 Oz Coffee Glass COG: 2,11 / Price: 15,98";"B0DGGDN9WS";"SZ-GAM6-6BB0";"2";"";"31,96";"";"-6,58";"-5,68";"-0,9";"";"";"";"";"";"-";"";"-15,04";"-4,22";"";"6,12";"6,12";"10,34";"";"19,15";"145,02";"9 460";"20,59";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,45 / Price: 21,98";"B0DH83T7MF";"RP-GISO-TOFC";"2";"";"43,96";"";"";"";"";"";"";"";"";"";"-";"";"-16,32";"-6,9";"";"20,74";"20,74";"27,64";"";"47,18";"300,58";"3 818";"";"";""
"NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,31 / Price: 19,98";"B0DH87FYNN";"UM-NFPU-HUFM";"2";"";"39,96";"";"-1,44";"-1,44";"";"";"";"";"";"";"-";"";"-14,88";"-6,62";"";"17,02";"17,02";"23,64";"";"42,59";"257,10";"3 818";"3,60";"";""
"NewEleven 40th Birthday Gifts for Men Women - 1985 40 Year Old Gifts for Men, Women, Dad, Mom, Husband, Wife - Retro Trucker Hat COG: 1,89 / Price: 16,98";"B0DHC932W2";"HO-F3TN-5J1L";"2";"";"33,96";"";"";"";"";"";"";"";"";"";"-";"";"-16,92";"-3,78";"";"13,26";"13,26";"17,04";"";"39,05";"350,79";"162 377";"";"";""
"NewEleven Women - Friend Gifts Ornaments 2025 - Friendship Gifts for Friends, Birthday Gift for Women, Besties, Soul Sisters - Ceramic Christmas Ornaments COG: 0,91 / Price: 4,99";"B0DK16MCXG";"JC-JJYR-OWD3";"2";"";"9,98";"";"";"";"";"";"";"";"";"";"-";"";"-6,26";"-1,82";"";"1,90";"1,90";"3,72";"";"19,04";"104,40";"343 720";"";"";""
"NewEleven Gift For Teachers - Teacher Appreciation Gifts For Women, New Teachers - Teacher Gifts For Women From Student, Friends, Family And Coworker - 20 Oz Tumbler COG: 3,42 / Price: 12,98";"B0DYDZFRZD";"4E-EG59-NN41";"2";"";"25,96";"";"-4";"-4";"";"";"";"";"";"";"-";"";"-12,56";"-6,84";"";"2,56";"2,56";"9,4";"";"9,86";"37,43";"44 823";"15,41";"";""
"NewEleven Daughter Birthday Gifts - Gifts For Daughter, Daughters In Law - Daughters Birthday Gift Ideas From Mom, Dad - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,44 / Price: 17,98";"B0F13VCCMP";"CG-9LUS-K14G";"2";"";"35,96";"";"";"";"";"";"";"";"";"";"-";"";"-14,26";"-4,88";"";"16,82";"16,82";"21,7";"";"46,77";"344,67";"19 010";"";"";""
"NewEleven Gifts For Aunt - Aunt Birthday Gifts From Niece, Newphew, Kids - Auntie Gift Ideas, Christian Gift For Aunt, Auntie - Decorative Glass Scripture Jar With 92 Bible Verse COG: 1,97 / Price: 16,98";"B0FBRBL1CQ";"O8-51RP-7R9U";"2";"";"33,96";"";"-1,2";"-1,2";"";"";"";"";"";"";"-";"";"-13,42";"-3,94";"";"15,40";"15,40";"19,34";"";"45,35";"390,86";"19 010";"3,53";"";""
"NewEleven Gifts For Husband - Husband Birthday Gift, Christian Gift For Him, Husbands - Anniversary Present For Him Hubby From Wife, Her - Decorative Glass Scripture Jar With 92 Bible Verse COG: 0 / Price: 17,98";"B0FC61VF9P";"5Y-ELMB-DGUB";"2";"";"35,96";"";"-2,34";"-2,34";"";"";"";"";"";"";"-";"";"-13,74";"";"";"19,88";"19,88";"19,88";"";"55,28";"";"19 010";"6,51";"";""
