"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"35";"1";"699,3";"";"-134,56";"-134,56";"";"";"";"";"";"2,86";"-";"-17,34";"-260,44";"-115,15";"";"171,81";"171,81";"286,96";"";"24,57";"149,21";"3 461";"19,24";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"23";"";"459,54";"-7";"-113,74";"-113,74";"";"";"";"";"";"";"-";"";"-179,42";"-81,88";"";"77,50";"77,50";"159,38";"";"16,86";"94,65";"7 294";"24,75";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"23";"";"367,54";"";"-79,05";"-79,05";"";"";"";"";"";"";"-";"";"-175,16";"-64,4";"";"48,93";"48,93";"113,33";"";"13,31";"75,98";"8 823";"21,51";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 0";"B0F18CMJ3L";"CU-4EWE-9UH1";"23";"";"505,56";"";"-93,26";"-93,26";"";"";"";"";"";"";"-";"";"-187,34";"-45,08";"";"179,88";"179,88";"224,96";"";"35,58";"399,02";"11 030";"18,45";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"22";"1";"373,56";"";"-77,66";"-77,66";"";"";"";"";"";"4,55";"-";"-14,86";"-169,02";"-43,78";"";"68,24";"68,24";"112,02";"";"18,27";"155,87";"10 440";"20,79";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"22";"";"505,56";"";"-93,16";"-93,16";"";"";"";"";"";"";"-";"";"-183,07";"-77";"";"152,33";"152,33";"229,33";"";"30,13";"197,83";"15 180";"18,43";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"21";"";"461,58";"";"-76,88";"-76,88";"";"";"";"";"";"";"-";"";"-162,78";"-68,46";"";"153,46";"153,46";"221,92";"";"33,25";"224,16";"3 461";"16,66";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"19";"2";"436,62";"";"-35,01";"-35,01";"";"";"";"";"";"10,53";"100";"-34,68";"-151,53";"-79,99";"";"135,41";"135,41";"211,19";"";"31,01";"169,28";"20 017";"8,02";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"19";"1";"303,62";"-1,6";"";"";"";"";"";"";"";"5,26";"-";"-13,87";"-144,47";"-94,81";"";"48,87";"48,87";"143,68";"";"16,10";"51,55";"76 833";"";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"18";"";"341,64";"";"-71,86";"-71,86";"";"";"";"";"";"";"-";"";"-131,08";"-46,62";"";"92,08";"92,08";"138,7";"";"26,95";"197,51";"17 626";"21,03";"";""
