"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"31";"";"619,38";"";"-143,56";"-143,56";"";"";"";"";"";"";"";"";"-230,76";"-101,99";"";"143,07";"143,07";"245,06";"";"23,10";"140,28";"2 589";"23,18";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"21";"1";"482,58";"";"-88,75";"-88,75";"";"";"";"";"";"4,76";"-";"-18,95";"-174,93";"-41,16";"";"158,79";"158,79";"199,95";"";"32,90";"385,79";"7 112";"18,39";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"18";"";"341,64";"-6,26";"-88,95";"-88,95";"";"";"";"";"";"";"";"";"-130,09";"-46,62";"";"69,72";"69,72";"116,34";"";"20,41";"149,55";"16 695";"26,04";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"17";"1";"271,66";"";"-112,09";"-112,09";"";"";"";"";"";"5,88";"-";"-13,87";"-129,51";"-47,6";"";"-31,41";"-31,41";"16,19";"";"-11,56";"-65,99";"8 272";"41,26";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"17";"1";"288,66";"-0,85";"-74,87";"-74,87";"";"";"";"";"";"5,88";"-";"-14";"-130,49";"-33,83";"";"34,62";"34,62";"68,45";"";"11,99";"102,34";"8 297";"25,94";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"15";"";"344,7";"";"-47,37";"-47,37";"";"";"";"";"";"";"-";"";"-119,64";"-63,15";"";"114,54";"114,54";"177,69";"";"33,23";"181,38";"21 508";"13,74";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"15";"";"239,7";"-1,6";"-30,85";"-30,85";"";"";"";"";"";"";"-";"";"-107,14";"-38,7";"";"61,41";"61,41";"100,11";"";"25,62";"158,68";"22 130";"12,87";"";""
"NewEleven 30th Birthday Gifts For Her Women - 1995 30th Birthday Decorations For Woman - 30 Year Old Gifts Idea For Friends, Sister - 16 Oz Coffee Glass COG: 2,11 / Price: 15,98";"B0DGGDN9WS";"SZ-GAM6-6BB0";"13";"";"207,74";"-0,8";"-43,24";"-43,24";"";"";"";"";"";"";"-";"";"-97,68";"-27,43";"";"38,59";"38,59";"66,02";"";"18,58";"140,69";"8 297";"20,81";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98";"B08R8PXYL6";"ZG-6MPB-F5JV";"11";"";"219,78";"";"-45,09";"-45,09";"";"";"";"";"";"";"-";"";"-81,82";"-36,41";"";"56,46";"56,46";"92,87";"";"25,69";"155,07";"9 347";"20,52";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"11";"1";"219,78";"-6";"-140,24";"-140,24";"";"";"";"";"";"9,09";"100";"-12,91";"-78,06";"-39,16";"";"-56,59";"-56,59";"-20,99";"";"-25,75";"-144,51";"6 530";"63,81";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"11";"1";"252,78";"";"-93,36";"-93,36";"";"";"";"";"";"9,09";"-";"-19,94";"-91,61";"-38,5";"";"9,37";"9,37";"47,87";"";"3,71";"24,34";"12 112";"36,93";"";""
"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card COG: 0,39 / Price: 7,99";"B0FC69XTZ9";"B4-IRKZ-AKKE";"10";"";"79,9";"";"-54,46";"-54,46";"";"";"";"";"";"";"-";"";"-36";"-3,9";"";"-14,46";"-14,46";"-10,56";"";"-18,10";"-370,77";"7 110";"68,16";"";""
"NewEleven Gift For Brother From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law - Funny Gag Gifts For Men - 20 Oz Tumbler COG: 4,4 / Price: 19,98";"B09792XF8F";"CC-VIYV-1LFP";"9";"";"179,82";"";"";"";"";"";"";"";"";"";"";"";"-70,65";"-39,6";"";"69,57";"69,57";"109,17";"";"38,69";"175,68";"16 332";"";"";""
"NewEleven Daughter Birthday Gifts - Gifts For Daughter, Daughters In Law - Daughters Birthday Gift Ideas From Mom, Dad - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,44 / Price: 17,98";"B0F13VCCMP";"CG-9LUS-K14G";"9";"";"161,82";"-0,9";"";"";"";"";"";"";"";"";"-";"";"-64";"-21,96";"";"74,96";"74,96";"96,92";"";"46,32";"341,35";"16 695";"";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 19,98";"B089QFYLFB";"XH-ELQT-PEJ2";"8";"";"159,84";"";"-63,04";"-63,04";"";"";"";"";"";"";"100";"6,78";"-59,56";"-27,12";"";"16,90";"16,90";"37,24";"";"10,57";"62,32";"9 347";"39,44";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"8";"";"183,84";"";"-92,39";"-92,39";"";"";"";"";"";"";"-";"";"-63,72";"-33,12";"";"-5,39";"-5,39";"27,73";"";"-2,93";"-16,27";"14 311";"50,26";"";""
"NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler COG: 3,31 / Price: 21,98";"B0DH7X6R1J";"YJ-F5N3-DGJ5";"8";"";"175,84";"-1,1";"-64,95";"-64,95";"";"";"";"";"";"";"-";"";"-61,9";"-26,48";"";"21,41";"21,41";"47,89";"";"12,18";"80,85";"2 589";"36,94";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"8";"";"175,84";"";"-77,35";"-77,35";"";"";"";"";"";"";"-";"";"-62,06";"-26,08";"";"10,35";"10,35";"36,43";"";"5,89";"39,69";"2 589";"43,99";"";""
"NewEleven Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 1,99 / Price: 16,98";"B0DVSKXLS5";"UI-VXIT-1YW7";"8";"";"135,84";"";"-111,62";"-111,62";"";"";"";"";"";"";"-";"";"-55,74";"-15,92";"";"-47,44";"-47,44";"-31,52";"";"-34,92";"-297,99";"16 695";"82,17";"";""
"NewEleven Gifts For Aunt - Aunt Birthday Gifts From Niece, Newphew, Kids - Auntie Gift Ideas, Christian Gift For Aunt, Auntie - Decorative Glass Scripture Jar With 92 Bible Verse COG: 1,97 / Price: 16,98";"B0FBRBL1CQ";"O8-51RP-7R9U";"8";"";"135,84";"";"-6,32";"-6,32";"";"";"";"";"";"";"-";"";"-53,68";"-15,76";"";"60,08";"60,08";"75,84";"";"44,23";"381,22";"16 695";"4,65";"";""
"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card COG: 0 / Price: 9,99";"B0FCLHRJ36";"0M-ATAJ-MC5Y";"8";"";"79,92";"";"-59,68";"-59,68";"";"";"";"";"";"";"-";"";"-13,2";"";"";"7,04";"7,04";"7,04";"";"8,81";"";"95 933";"74,67";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Kids - Husband Gift - Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,44 / Price: 19,98";"B0CM5RJ8VD";"1J-71GS-RJFC";"7";"";"139,86";"";"";"";"";"";"";"";"";"";"100";"3,44";"-52,11";"-24,08";"";"67,11";"67,11";"87,75";"";"47,98";"278,70";"6 530";"";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Him, Her - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH86X93V";"Z0-L1YB-49DF";"7";"";"139,86";"";"-21,3";"-21,3";"";"";"";"";"";"";"-";"";"-52,09";"-23,03";"";"43,44";"43,44";"66,47";"";"31,06";"188,62";"2 589";"15,23";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"7";"2";"160,86";"";"-69,89";"-69,89";"";"";"";"";"";"28,57";"-";"-39,88";"-72,64";"-31,36";"";"-52,91";"-52,91";"-21,55";"";"-32,89";"-168,72";"10 403";"43,45";"";""
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card COG: 0,46 / Price: 9,99";"B0F2TDMHFC";"LT-01MF-LZ2N";"7";"";"69,93";"";"-36,33";"-36,33";"";"";"";"";"";"";"-";"";"-27,58";"-3,22";"";"2,80";"2,80";"6,02";"";"4,00";"86,96";"9 008";"51,95";"";""
