"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"48";"2";"1 103,04";"-2,3";"-206,4";"-195,78";"";"";"-10,62";"";"";"4,17";"-";"-39,88";"-399,33";"-94,08";"";"361,05";"361,05";"455,13";"";"32,73";"383,77";"8 324";"18,71";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"46";"1";"919,08";"";"-174,04";"-172,68";"";"";"-1,36";"";"";"2,17";"100";"-14,05";"-342,36";"-151,34";"";"237,29";"237,29";"385,34";"";"25,82";"156,79";"3 295";"18,94";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"33";"2";"758,34";"";"-217,05";"-217,05";"";"";"";"";"";"6,06";"-";"-39,88";"-274,77";"-115,5";"";"111,14";"111,14";"226,64";"";"14,66";"96,23";"11 005";"28,62";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"23";"1";"367,54";"";"";"";"";"";"";"";"";"4,35";"-";"-13,87";"-175,09";"-114,77";"";"63,81";"63,81";"178,58";"";"17,36";"55,60";"68 219";"";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 19,98";"B0DH88L44J";"3E-J0TV-6W9S";"19";"";"379,62";"";"-85,02";"-85,02";"";"";"";"";"";"";"-";"";"-188,3";"-85,12";"";"21,18";"21,18";"106,3";"";"5,58";"24,88";"17 346";"22,40";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 17,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"18";"";"323,64";"";"-98,76";"-97,76";"";"";"-1";"";"";"";"-";"";"-142,18";"-35,82";"";"46,88";"46,88";"82,7";"";"14,49";"130,88";"9 763";"30,52";"";""
"NewEleven Wedding Gifts For Couples 2025 - Funny Wedding Card For Bride And Groom, Newly Wed Gifts For Couple - Meaningful Present From Friend And Family - Greeting Card COG: 0,39 / Price: 4,99";"B0FC6DQZCQ";"DP-MOZ6-JMS1";"18";"";"89,82";"-1";"";"";"";"";"";"";"";"";"-";"";"-66,32";"-7,02";"";"15,48";"15,48";"22,5";"";"17,23";"220,51";"14 997";"";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 19,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"13";"";"259,74";"";"-103,9";"-103,9";"";"";"";"";"";"";"100";"4,14";"-206";"-53,82";"";"-99,84";"-99,84";"-50,16";"";"-38,44";"-185,51";"19 697";"40,00";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"13";"";"207,74";"-1,6";"-27,04";"-27,04";"";"";"";"";"";"";"100";"2,58";"-83,87";"-33,54";"";"64,27";"64,27";"95,23";"";"30,94";"191,62";"25 791";"13,02";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"11";"";"219,78";"-4";"-37,07";"-37,07";"";"";"";"";"";"";"-";"";"-73,42";"-39,16";"";"66,13";"66,13";"105,29";"";"30,09";"168,87";"7 970";"16,87";"";""
