"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"52";"1";"1 194,96";"-7,82";"-183,42";"-178,34";"";"";"-5,08";"";"";"1,92";"100";"-16,02";"-431,93";"-101,92";"";"453,85";"453,85";"551,85";"";"37,98";"445,30";"9 818";"15,35";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"39";"1";"896,22";"-2,76";"-253,9";"-253,9";"";"";"";"";"";"2,56";"-";"-19,94";"-324,42";"-136,5";"";"158,70";"158,70";"295,2";"";"17,71";"116,26";"14 255";"28,33";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"37";"2";"739,26";"";"-145,61";"-139,73";"";"";"-5,88";"";"";"5,41";"100";"-31,39";"-275,38";"-121,73";"";"165,15";"165,15";"283,59";"";"22,34";"135,67";"3 498";"19,70";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"23";"";"367,54";"-7,99";"";"";"";"";"";"";"";"";"100";"4,99";"-173,91";"-114,77";"";"75,86";"75,86";"185,64";"";"20,64";"66,10";"82 032";"";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"23";"1";"390,54";"";"-78,73";"-72,78";"";"";"-5,95";"";"";"4,35";"100";"-12,74";"-176,88";"-45,77";"";"76,42";"76,42";"120,2";"";"19,57";"166,97";"11 482";"20,16";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"21";"";"335,58";"-1,6";"-29,25";"-29,25";"";"";"";"";"";"";"-";"";"-150,38";"-54,18";"";"100,17";"100,17";"154,35";"";"29,85";"184,88";"22 182";"8,72";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"18";"";"359,64";"-10";"-85,26";"-85,26";"";"";"";"";"";"";"-";"";"-102,04";"-74,76";"";"87,58";"87,58";"162,34";"";"24,35";"117,15";"7 471";"23,71";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"15";"";"344,7";"-1,15";"-95,43";"-95,43";"";"";"";"";"";"";"-";"";"-155,7";"-67,2";"";"25,22";"25,22";"92,42";"";"7,32";"37,53";"17 131";"27,68";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"13";"";"220,74";"";"-52,5";"-52,5";"";"";"";"";"";"";"-";"";"-90,54";"-44,07";"";"33,63";"33,63";"77,7";"";"15,24";"76,31";"11 167";"23,78";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"13";"";"207,74";"";"-36,44";"-36,44";"";"";"";"";"";"";"-";"";"-98,95";"-36,4";"";"35,95";"35,95";"72,35";"";"17,31";"98,76";"10 877";"17,54";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"13";"1";"246,74";"";"-39,83";"-39,83";"";"";"";"";"";"7,69";"100";"0,71";"-94,69";"-33,67";"";"79,26";"79,26";"102,57";"";"32,12";"235,40";"19 031";"16,14";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"12";"";"275,76";"";"-75,78";"-75,78";"";"";"";"";"";"";"-";"";"-95,61";"-49,68";"";"54,69";"54,69";"104,37";"";"19,83";"110,08";"20 000";"27,48";"";""
"NewEleven Gifts For Him - Fishing Gifts For Men, Dad, Fisherman, Father - Practical Gift, Dad Birthday Present, Men, Husband - 20 Oz Tumbler COG: 3,66 / Price: 17,98";"B0CY4MC1GJ";"YJ-23CQ-KDB5";"12";"";"215,76";"";"-29,08";"-29,08";"";"";"";"";"";"";"-";"";"-90,38";"-43,92";"";"52,38";"52,38";"96,3";"";"24,28";"119,26";"17 850";"13,48";"";""
