"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"51";"";"1 171,98";"";"-248,71";"-248,71";"";"";"";"";"";"";"-";"";"-424,94";"-178,5";"";"319,83";"319,83";"498,33";"";"27,29";"179,18";"12 202";"21,22";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"50";"";"1 149";"";"-204,21";"-192,73";"";"";"-11,48";"";"";"";"100";"1,96";"-416,41";"-98";"";"432,34";"432,34";"528,38";"";"37,63";"441,16";"8 627";"17,77";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"49";"1";"979,02";"";"-214,54";"-213,17";"";"-1,37";"";"";"";"2,04";"-";"-17,34";"-364,65";"-161,21";"";"221,28";"221,28";"382,49";"";"22,60";"137,26";"3 735";"21,91";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 17,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"31";"";"557,38";"";"-119,11";"-111,34";"";"";"-7,77";"";"";"";"33,33";"1,99";"-244,97";"-61,69";"";"133,60";"133,60";"193,3";"";"23,97";"216,57";"9 889";"21,37";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"22";"1";"351,56";"";"";"";"";"";"";"";"";"4,55";"-";"-13,87";"-167,54";"-109,78";"";"60,37";"60,37";"170,15";"";"17,17";"54,99";"79 916";"";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 19,98";"B0DH88L44J";"3E-J0TV-6W9S";"21";"";"431,58";"";"-94,8";"-94,8";"";"";"";"";"";"";"100";"4,48";"-210,15";"-94,08";"";"37,03";"37,03";"126,63";"";"8,58";"39,36";"18 188";"21,97";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"19";"";"417,62";"";"-68,84";"-68,84";"";"";"";"";"";"";"-";"";"-147,32";"-61,94";"";"139,52";"139,52";"201,46";"";"33,41";"225,25";"3 734";"16,48";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"19";"2";"360,62";"";"-20,11";"-20,11";"";"";"";"";"";"10,53";"-";"-32,94";"-138,33";"-49,21";"";"120,03";"120,03";"169,24";"";"33,28";"243,91";"20 800";"5,58";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"16";"";"271,68";"-0,84";"-91,18";"-86,4";"";"";"-4,78";"";"";"";"-";"";"-111,33";"-54,24";"";"14,09";"14,09";"68,33";"";"5,19";"25,98";"10 684";"33,56";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"16";"1";"319,68";"-12";"-39,96";"-39,96";"";"";"";"";"";"6,25";"-";"-16,47";"-103,6";"-56,96";"";"90,69";"90,69";"147,65";"";"28,37";"159,22";"7 999";"12,50";"";""
"NewEleven Wedding Gifts For Couples 2025 - Funny Wedding Card For Bride And Groom, Newly Wed Gifts For Couple - Meaningful Present From Friend And Family - Greeting Card COG: 0,39 / Price: 4,99";"B0FC6DQZCQ";"DP-MOZ6-JMS1";"16";"1";"79,84";"-1,75";"";"";"";"";"";"";"";"6,25";"-";"-4,11";"-56,48";"-6,24";"";"11,26";"11,26";"17,5";"";"14,10";"180,45";"15 235";"";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"15";"";"344,7";"";"-41,34";"-41,34";"";"";"";"";"";"";"100";"4,21";"-119,49";"-63,15";"";"124,93";"124,93";"183,87";"";"36,24";"197,83";"26 656";"11,99";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"15";"2";"239,7";"";"-32,16";"-32,16";"";"";"";"";"";"13,33";"100";"-24,94";"-114,19";"-42";"";"26,41";"26,41";"65,61";"";"11,02";"62,88";"13 521";"13,42";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98";"B08R8PXYL6";"ZG-6MPB-F5JV";"13";"";"246,74";"";"-16,82";"-9,15";"";"";"-7,67";"";"";"";"-";"";"-94,67";"-43,03";"";"92,22";"92,22";"135,25";"";"37,38";"214,32";"10 682";"6,82";"";""
