"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"45";"3";"1 034,1";"";"-172,64";"-172,64";"";"";"";"";"";"6,67";"100";"-57,86";"-374,88";"-88,2";"";"340,52";"340,52";"426,76";"";"32,93";"386,08";"5 222";"16,69";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"42";"3";"839,16";"-2";"-166,5";"-166,5";"";"";"";"";"";"7,14";"100";"-38,5";"-312,33";"-138,18";"";"181,65";"181,65";"313,25";"";"21,65";"131,46";"2 235";"19,84";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"31";"";"712,38";"";"-149,54";"-149,54";"";"";"";"";"";"";"50";"3,5";"-258,25";"-108,5";"";"199,59";"199,59";"304,59";"";"28,02";"183,95";"11 429";"20,99";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 0";"B0DH88L44J";"3E-J0TV-6W9S";"29";"";"643,44";"";"-107,96";"-107,96";"";"";"";"";"";"";"100";"4,48";"-297,63";"-129,92";"";"112,41";"112,41";"237,85";"";"17,47";"86,52";"9 849";"16,78";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"28";"2";"447,44";"";"-93,32";"-93,32";"";"";"";"";"";"7,14";"-";"-27,74";"-213,3";"-78,4";"";"34,68";"34,68";"113,08";"";"7,75";"44,23";"9 363";"20,86";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"24";"1";"407,52";"";"-69,47";"-69,47";"";"";"";"";"";"4,17";"-";"-14,73";"-184,59";"-47,76";"";"90,97";"90,97";"138,73";"";"22,32";"190,47";"7 578";"17,05";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"19";"";"360,62";"";"-121,36";"-121,36";"";"";"";"";"";"";"-";"";"-132,45";"-49,21";"";"57,60";"57,60";"106,81";"";"15,97";"117,05";"18 759";"33,65";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"18";"2";"287,64";"-1,6";"";"";"";"";"";"";"";"11,11";"-";"-26,34";"-120,62";"-89,82";"";"49,26";"49,26";"139,08";"";"17,13";"54,84";"58 077";"";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"16";"1";"367,68";"";"-110,95";"-110,95";"";"";"";"";"";"6,25";"100";"-15,8";"-112,14";"-66,24";"";"62,55";"62,55";"124,65";"";"17,01";"94,43";"16 612";"30,18";"";""
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"16";"2";"255,68";"";"-28,98";"-28,98";"";"";"";"";"";"12,50";"100";"-13,91";"-114,61";"-41,28";"";"56,90";"56,90";"95,6";"";"22,25";"137,84";"22 506";"11,33";"";""
