"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"42";"";"965,16";"-2,3";"-70,94";"-62,78";"";"";"-8,16";"";"";"";"-";"";"-349,06";"-82,32";"";"460,54";"460,54";"542,86";"";"47,72";"559,45";"8 653";"7,35";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"33";"";"659,34";"-2";"-64,94";"-61,69";"";"";"-3,25";"";"";"";"-";"";"-245,19";"-108,57";"";"238,64";"238,64";"347,21";"";"36,19";"219,80";"3 818";"9,85";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"32";"";"712,38";"";"-62,09";"-62,09";"";"";"";"";"";"";"-";"";"-257,93";"-112";"";"280,36";"280,36";"392,36";"";"39,36";"250,32";"12 136";"8,72";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"16";"1";"255,68";"";"-28,29";"-28,29";"";"";"";"";"";"6,25";"-";"-13,87";"-121,76";"-44,8";"";"46,96";"46,96";"91,76";"";"18,37";"104,82";"14 221";"11,06";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 18,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"16";"";"303,68";"";"-41,45";"-32,9";"";"";"-8,55";"";"";"";"-";"";"-128,96";"-31,84";"";"101,43";"101,43";"133,27";"";"33,40";"318,56";"9 402";"13,65";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"15";"";"344,7";"";"-29,75";"-29,75";"";"";"";"";"";"";"-";"";"-155,55";"-67,2";"";"92,20";"92,20";"159,4";"";"26,75";"137,20";"23 090";"8,63";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"14";"";"223,72";"";"";"";"";"";"";"";"";"";"-";"";"-106,56";"-69,86";"";"47,30";"47,30";"117,16";"";"21,14";"67,71";"77 779";"";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"11";"";"186,78";"";"-13,58";"-11,96";"";"";"-1,62";"";"";"";"-";"";"-76,67";"-37,29";"";"59,24";"59,24";"96,53";"";"31,72";"158,86";"10 977";"7,27";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"11";"";"252,78";"";"-26,78";"-26,78";"";"";"";"";"";"";"-";"";"-87,77";"-45,54";"";"92,69";"92,69";"138,23";"";"36,67";"203,54";"23 382";"10,59";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"10";"";"199,8";"-3";"-42,77";"-42,77";"";"";"";"";"";"";"-";"";"-57,94";"-35,6";"";"60,49";"60,49";"96,09";"";"30,28";"169,92";"8 992";"21,41";"";""
