(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,154,2,2.77%,2.47%,195,2,2.71%,1.94%,98.90%,100.00%,44,0,28.57%,0.00%,$879.12,$0.00,44,0
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,187,0,3.37%,0.00%,263,0,3.66%,0.00%,99.57%,0.00%,45,0,24.06%,0.00%,"$1,034.10",$0.00,43,0
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,154,0,2.77%,0.00%,201,0,2.80%,0.00%,100.00%,0.00%,27,0,17.53%,0.00%,$458.46,$0.00,27,0
B0DKDWHJ2P,B0CRVTN11L,"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass",Y1-7KOS-V5KR,105,2,1.89%,2.47%,135,2,1.88%,1.94%,97.58%,0.00%,24,0,22.86%,0.00%,$383.52,$0.00,23,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,104,2,1.87%,2.47%,136,3,1.89%,2.91%,100.00%,100.00%,24,0,23.08%,0.00%,$527.52,$0.00,23,0
B0FG7QMV1Y,B0D7HMXCSP,"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle",UB-TA3P-4YBQ,115,0,2.07%,0.00%,182,0,2.53%,0.00%,99.38%,0.00%,23,0,20.00%,0.00%,$367.54,$0.00,21,0
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,150,4,2.70%,4.94%,237,4,3.30%,3.88%,100.00%,100.00%,21,1,14.00%,25.00%,$482.58,$22.98,21,1
B0FFGT9TWF,B0F13S4HSG,"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse",M7-LMCU-PTYK,148,0,2.67%,0.00%,200,0,2.78%,0.00%,99.45%,0.00%,20,0,13.51%,0.00%,$379.60,$0.00,20,0
B0F8QTMBRV,B0DGGDN9WS,"NewEleven 30th Birthday Gifts For Her Women - 1995 30th Birthday Decorations For Woman - 30 Year Old Gifts Idea For Friends, Sister - 16 Oz Coffee Glass",SZ-GAM6-6BB0,75,1,1.35%,1.23%,109,1,1.52%,0.97%,100.00%,100.00%,17,0,22.67%,0.00%,$271.66,$0.00,17,0
B0D83GTKZK,B08R8R2LQF,"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler",JC-JMFX-W7IY,47,1,0.85%,1.23%,65,1,0.90%,0.97%,100.00%,0.00%,14,0,29.79%,0.00%,$321.72,$0.00,14,0
B0DVZ28QXB,B0CQJZP6TK,"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass",FJ-K5JP-AWYT,69,0,1.24%,0.00%,107,0,1.49%,0.00%,98.96%,0.00%,15,0,21.74%,0.00%,$239.70,$0.00,14,0
B0FH6R5YTH,B0FC69XTZ9,"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card",B4-IRKZ-AKKE,92,1,1.66%,1.23%,119,2,1.66%,1.94%,100.00%,100.00%,13,0,14.13%,0.00%,$90.87,$0.00,13,0
B0FFH2DPYK,B089QFYLFB,"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler",XH-ELQT-PEJ2,54,0,0.97%,0.00%,68,0,0.95%,0.00%,98.46%,0.00%,12,0,22.22%,0.00%,$239.76,$0.00,12,0
B0FGDHKH6G,B0BRB6NJCT,"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass",MF-GYAU-GTQX,72,2,1.30%,2.47%,104,2,1.45%,1.94%,100.00%,100.00%,12,1,16.67%,50.00%,$179.76,$14.98,12,1
B0F18PVLJ1,B0F18PVLJ1,"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler",WD-3UXP-TSPV,80,1,1.44%,1.23%,101,1,1.41%,0.97%,100.00%,100.00%,12,0,15.00%,0.00%,$275.76,$0.00,12,0
B0FH6R5YTH,B0FC6158DB,"NewEleven Best Friends Gift - Heartfelt Message, Birthday Card For Friend - Best Friend Birthday Gifts For Women, Men, Meaningful Gift From Friends - Greeting Card",6B-3XRW-U6OQ,89,2,1.60%,2.47%,120,2,1.67%,1.94%,100.00%,100.00%,13,0,14.61%,0.00%,$99.87,$0.00,12,0
B0FHKT7T9Q,B0FC6CY15S,"NewEleven Cat Mom Gifts For Women - Cat Birthday Card, Funny Gift For Cat Lover, Cat Mom, Her - Cat Lover Gifts For Women From Friend, Family - Greeting Card",5P-CAQZ-6FK5,60,1,1.08%,1.23%,79,1,1.10%,0.97%,100.00%,100.00%,12,0,20.00%,0.00%,$71.88,$0.00,12,0
B0F9W75LLW,B0CG8N67SJ,"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler",FQ-Q5JW-E8TK,138,2,2.49%,2.47%,179,3,2.49%,2.91%,97.63%,100.00%,11,0,7.97%,0.00%,$219.78,$0.00,11,0
B0FJDY1LNS,B08ZRWW1W4,"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler",A6-H1II-ZKFG,89,1,1.60%,1.23%,128,1,1.78%,0.97%,99.16%,100.00%,10,0,11.24%,0.00%,$229.80,$0.00,10,0
B0DVYKZQJ5,B0CJ2CKDR8,"NewEleven Gifts For Godmother - Will You Be My Godmother From GodChild - Pregnancy Announcement Gifts For God Mother, Godmom, Godparents - 16 Oz Coffee Glass",SE-AHQ6-UUXA,27,0,0.49%,0.00%,37,0,0.51%,0.00%,93.55%,0.00%,10,0,37.04%,0.00%,$129.80,$0.00,10,0
B0FD9QBGZH,B0DH7X6R1J,NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler,YJ-F5N3-DGJ5,92,0,1.66%,0.00%,110,0,1.53%,0.00%,100.00%,0.00%,10,0,10.87%,0.00%,$219.80,$0.00,10,0
B0FH6R5YTH,B0FC6B7XH2,"NewEleven Retirement Card For Woman, Men - Funny Retirement Present, Goodbye Gifts For Coworkers, Farewell Gifts For Men, Boss From Coworker - Greeting Card",XL-UV7U-G4EA,47,1,0.85%,1.23%,49,1,0.68%,0.97%,100.00%,100.00%,10,0,21.28%,0.00%,$59.90,$0.00,10,0
B0FCLHRJ36,B0FCLHRJ36,"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card",0M-ATAJ-MC5Y,121,2,2.18%,2.47%,163,3,2.27%,2.91%,100.00%,100.00%,11,0,9.09%,0.00%,$109.89,$0.00,10,0
B0DVZ9NWDG,B092HNBJT6,"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler",W7-BHYY-1NZC,89,5,1.60%,6.17%,124,9,1.73%,8.74%,99.13%,100.00%,9,1,10.11%,20.00%,$179.82,$19.98,9,1
B0FG7PKPXP,B0CBJR253J,"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass",DM-ZO4D-MA58,27,1,0.49%,1.23%,37,1,0.51%,0.97%,100.00%,100.00%,12,0,44.44%,0.00%,$119.88,$0.00,9,0
B0FJDLVWD4,B0CY4MC1GJ,"NewEleven Gifts For Him - Fishing Gifts For Men, Dad, Fisherman, Father - Practical Gift, Dad Birthday Present, Men, Husband - 20 Oz Tumbler",YJ-23CQ-KDB5,50,2,0.90%,2.47%,73,2,1.02%,1.94%,98.51%,100.00%,9,0,18.00%,0.00%,$143.82,$0.00,9,0
B0FFGT9TWF,B0FBRBL1CQ,"NewEleven Gifts For Aunt - Aunt Birthday Gifts From Niece, Newphew, Kids - Auntie Gift Ideas, Christian Gift For Aunt, Auntie - Decorative Glass Scripture Jar With 92 Bible Verse",O8-51RP-7R9U,60,0,1.08%,0.00%,78,0,1.09%,0.00%,100.00%,0.00%,9,0,15.00%,0.00%,$143.82,$0.00,9,0
B0FH6R5YTH,B0FC69R4PK,"NewEleven Retirement Gift For Woman - Retirement Card For Women, Men, Boss - Funny Retirements Gifts For Men, Farewell Gifts For Coworkers From Work Bestie, Colleague - Greeting Card",A9-HSHI-ATQO,91,1,1.64%,1.23%,122,1,1.70%,0.97%,100.00%,0.00%,9,0,9.89%,0.00%,$53.91,$0.00,9,0
B0FHKT7T9Q,B0FC6DJMD9,"NewEleven Gifts For Mom - Heartfelt Message, Birthday Card For Mom From Daughter, Son, Kids - Meaningful Gift, Unique Present For Mother - Greeting Card",1E-URHL-R626,45,0,0.81%,0.00%,54,0,0.75%,0.00%,100.00%,0.00%,9,0,20.00%,0.00%,$53.91,$0.00,9,0
B0FHBBJ3JH,B0FC6FNMMD,"NewEleven Engagement Gifts For Couples - Happy Wedding Cards For Bride And Groom - Romantic Present, Congratulation Wedding Gifts From Friend, Family - Greeting Card",TU-XEZX-HS89,82,1,1.48%,1.23%,100,1,1.39%,0.97%,100.00%,0.00%,11,0,13.41%,0.00%,$76.89,$0.00,9,0
B0FFH2DPYK,B0CYS94K31,"NewEleven 40th Birthday Gifts For Women - 40s Birthday Decorations For Women - 40 Year Old Gifts For Her, Sister, Mom, Daughter, Best Friend - In My Forties Era Wine Tumbler - 12 Oz Tumbler",75-LNB7-IBAL,16,0,0.29%,0.00%,18,0,0.25%,0.00%,100.00%,0.00%,10,0,62.50%,0.00%,$179.80,$0.00,8,0
B0FD9QBGZH,B0DH86X93V,"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Him, Her - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",Z0-L1YB-49DF,42,0,0.76%,0.00%,55,0,0.77%,0.00%,100.00%,0.00%,8,0,19.05%,0.00%,$159.84,$0.00,8,0
B0FH6R5YTH,B0FC62VRRC,"NewEleven Best Friend Gift - Funny Card, Best Friend Birthday Gifts For Women, Her, Girls - Bestie Present, Meaningful Gift From Friends - Greeting Card",OF-YAJT-Y5A4,60,0,1.08%,0.00%,71,0,0.99%,0.00%,100.00%,0.00%,8,0,13.33%,0.00%,$47.92,$0.00,8,0
B0FH6R5YTH,B0FC69GZW9,"NewEleven Retirement Gifts - Retirement Card For Women, Men, Boss - Coworker Leaving Gifts For Women, Happy Farewell Card, Meaningful Gift From Colleague - Greeting Card",W6-C0RK-V9ZB,54,1,0.97%,1.23%,72,2,1.00%,1.94%,100.00%,0.00%,8,0,14.81%,0.00%,$47.92,$0.00,8,0
B0FFH2DPYK,B08R8PXYL6,"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler",ZG-6MPB-F5JV,48,0,0.86%,0.00%,62,0,0.86%,0.00%,100.00%,0.00%,7,0,14.58%,0.00%,$139.86,$0.00,7,0
B0DVZ9NWDG,B09ZYCD6GX,"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler",1Q-FSNP-VBED,44,2,0.79%,2.47%,63,3,0.88%,2.91%,94.92%,100.00%,7,1,15.91%,50.00%,$139.86,$19.98,7,1
B0DPKY9KZ1,B0D9L8P1XL,"NewEleven Gifts for Women Friendship - Funny Gift for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Candle",1G-WJN6-34JP,30,0,0.54%,0.00%,35,0,0.49%,0.00%,100.00%,0.00%,8,0,26.67%,0.00%,$143.84,$0.00,7,0
B0FFGT9TWF,B0F13VCCMP,"NewEleven Daughter Birthday Gifts - Gifts For Daughter, Daughters In Law - Daughters Birthday Gift Ideas From Mom, Dad - Decorative Glass Scripture Jar With 92 Bible Verse",CG-9LUS-K14G,70,1,1.26%,1.23%,93,1,1.29%,0.97%,100.00%,100.00%,8,0,11.43%,0.00%,$143.84,$0.00,7,0
B0FHKT7T9Q,B0F2TDMHFC,"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card",LT-01MF-LZ2N,42,1,0.76%,1.23%,52,2,0.72%,1.94%,100.00%,0.00%,7,0,16.67%,0.00%,$69.93,$0.00,7,0
B0FJDLVWD4,B0C9D2PHMH,"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Aunt, New Auntie, Sister - Aunty Birthday Gift, Announcement, Promoted To Auntie, Best Aunty Ever - 20 Oz Tumbler",GX-USB4-E6T8,17,0,0.31%,0.00%,24,0,0.33%,0.00%,100.00%,0.00%,11,0,64.71%,0.00%,$175.78,$0.00,6,0
