"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"9";"";"179,82";"";"-5,2";"-5,2";"";"";"";"";"";"";"-";"";"-66,96";"-29,61";"";"78,05";"78,05";"107,66";"";"43,40";"263,59";"3 351";"2,89";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"9";"";"170,82";"";"-11,69";"-11,69";"";"";"";"";"";"";"-";"";"-65,52";"-23,31";"";"70,30";"70,30";"93,61";"";"41,15";"301,59";"17 592";"6,84";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"9";"";"206,82";"-1,15";"-5,34";"-5,34";"";"";"";"";"";"";"-";"";"-74,69";"-31,5";"";"94,14";"94,14";"125,64";"";"45,52";"298,86";"11 259";"2,58";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"8";"";"183,84";"";"-2";"-2";"";"";"";"";"";"";"-";"";"-66,56";"-15,68";"";"99,60";"99,60";"115,28";"";"54,18";"635,20";"7 477";"1,09";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"6";"";"137,88";"";"";"";"";"";"";"";"";"";"-";"";"-47,88";"-24,84";"";"65,16";"65,16";"90";"";"47,26";"262,32";"22 673";"";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98";"B0BYCT1SRJ";"LH-BSSY-KKX9";"6";"2";"95,88";"";"";"";"";"";"";"";"";"33,33";"-";"-26,34";"-45,66";"-13,38";"";"10,50";"10,50";"23,88";"";"10,95";"78,48";"32 556";"";"";""
"NewEleven Gifts For Mom - Birthday Gifts For Mom From Kids – Unique Birthday Present Ideas For Mother, New Mom, Mom To Be, Wife From Daughter, Son, Husband - 16 Oz Coffee Glass COG: 2,25 / Price: 16,98";"B0C9BZRC4K";"YM-PHWT-7K9Y";"6";"";"101,88";"";"";"";"";"";"";"";"";"";"-";"";"-46,59";"-13,5";"";"41,79";"41,79";"55,29";"";"41,02";"309,56";"32 427";"";"";""
"NewEleven 30th Birthday Gifts For Her Women - 1995 30th Birthday Decorations For Woman - 30 Year Old Gifts Idea For Friends, Sister - 16 Oz Coffee Glass COG: 2,11 / Price: 15,98";"B0DGGDN9WS";"SZ-GAM6-6BB0";"6";"";"95,88";"";"-1,21";"-1,21";"";"";"";"";"";"";"-";"";"-45,12";"-12,66";"";"36,89";"36,89";"49,55";"";"38,48";"291,39";"8 877";"1,26";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"5";"";"114,9";"";"-1,4";"-1,4";"";"";"";"";"";"";"-";"";"-39,9";"-21,05";"";"52,55";"52,55";"73,6";"";"45,74";"249,64";"21 534";"1,22";"";""
"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card COG: 0,42 / Price: 6,99";"B0FC5SSDXK";"D0-B6A7-C5GP";"5";"";"34,95";"";"-5,12";"-5,12";"";"";"";"";"";"";"-";"";"-17,2";"-2,1";"";"10,53";"10,53";"12,63";"";"30,13";"501,43";"21 581";"14,65";"";""
