"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"47";"";"1 080,06";"";"-157,73";"-149,52";"";"";"-8,21";"";"";"";"-";"";"-391,33";"-92,12";"";"438,88";"438,88";"531";"";"40,63";"476,42";"8 627";"14,60";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"47";"";"1 080,06";"";"-198,15";"-198,15";"";"";"";"";"";"";"-";"";"-391,45";"-164,5";"";"325,96";"325,96";"490,46";"";"30,18";"198,15";"12 202";"18,35";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"40";"";"799,2";"";"-144,92";"-144,41";"";"-0,51";"";"";"";"";"-";"";"-297,67";"-131,6";"";"225,01";"225,01";"356,61";"";"28,15";"170,98";"3 735";"18,13";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"17";"";"373,66";"";"-47,43";"-47,43";"";"";"";"";"";"";"-";"";"-131,79";"-55,42";"";"139,02";"139,02";"194,44";"";"37,20";"250,85";"3 734";"12,69";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 17,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"27";"";"485,46";"";"-88,64";"-83,47";"";"";"-5,17";"";"";"";"100";"1,99";"-213,41";"-53,73";"";"131,67";"131,67";"183,41";"";"27,12";"245,06";"9 889";"18,26";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"14";"";"321,72";"";"-34,64";"-34,64";"";"";"";"";"";"";"100";"4,21";"-111,6";"-58,94";"";"120,75";"120,75";"175,48";"";"37,53";"204,87";"26 656";"10,77";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"16";"1";"319,68";"-6";"-30,56";"-30,56";"";"";"";"";"";"6,25";"-";"-16,47";"-104,56";"-56,96";"";"105,13";"105,13";"162,09";"";"32,89";"184,57";"7 999";"9,56";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98";"B08R8PXYL6";"ZG-6MPB-F5JV";"13";"";"246,74";"";"-11,38";"-8,45";"";"";"-2,93";"";"";"";"-";"";"-94,66";"-43,03";"";"97,67";"97,67";"140,7";"";"39,58";"226,98";"10 682";"4,61";"";""
"NewEleven Gifts For Husband - Husband Birthday Gift, Christian Gift For Him, Husbands - Anniversary Present For Him Hubby From Wife, Her - Decorative Glass Scripture Jar With 92 Bible Verse COG: 0 / Price: 17,98";"B0FC61VF9P";"5Y-ELMB-DGUB";"7";"";"125,86";"-2,7";"";"";"";"";"";"";"";"";"-";"";"-47,64";"";"";"75,52";"75,52";"75,52";"";"60,00";"";"20 800";"";"";""
"NewEleven Fathers Day Gift For Dad, Birthday Gifts For Dad From Daughter, Son - New Dad Gift, Bible Jar For Father - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 2,14 / Price: 16,98";"B0DVSKBSWN";"GE-UCH3-MNIE";"7";"";"118,86";"";"";"";"";"";"";"";"";"";"-";"";"-32,54";"-14,98";"";"71,34";"71,34";"86,32";"";"60,02";"476,23";"20 800";"";"";""
"NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler COG: 3,31 / Price: 22,98";"B0DH7X6R1J";"YJ-F5N3-DGJ5";"8";"";"183,84";"";"-27,77";"-26,94";"";"";"-0,83";"";"";"";"-";"";"-63,46";"-26,48";"";"66,13";"66,13";"92,61";"";"35,97";"249,74";"3 735";"15,11";"";""
