"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"31";"";"712,38";"";"-99,22";"-86,58";"";"";"-12,64";"";"";"";"-";"";"-258,04";"-60,76";"";"294,36";"294,36";"355,12";"";"41,32";"484,46";"7 477";"13,93";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"29";"";"579,42";"";"-106,42";"-98,76";"";"";"-7,66";"";"";"";"-";"";"-215,8";"-95,41";"";"161,79";"161,79";"257,2";"";"27,92";"169,57";"3 351";"18,37";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"18";"1";"305,64";"";"-38,78";"-38,78";"";"";"";"";"";"5,56";"-";"-17,34";"-125,43";"-61,02";"";"63,07";"63,07";"124,09";"";"20,64";"103,36";"10 339";"12,69";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"18";"";"413,64";"-1,15";"-99,42";"-99,42";"";"";"";"";"";"";"-";"";"-149,74";"-63";"";"100,33";"100,33";"163,33";"";"24,26";"159,25";"11 259";"24,04";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"13";"";"298,74";"";"-55,33";"-55,33";"";"";"";"";"";"";"-";"";"-103,71";"-53,82";"";"85,88";"85,88";"139,7";"";"28,75";"159,57";"22 673";"18,52";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98";"B0BYCT1SRJ";"LH-BSSY-KKX9";"13";"2";"207,74";"-4,47";"-17,94";"-17,94";"";"";"";"";"";"15,38";"-";"-26,34";"-98,26";"-28,99";"";"31,74";"31,74";"60,73";"";"15,28";"109,49";"32 556";"8,64";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"13";"";"259,74";"-3";"-64,54";"-64,54";"";"";"";"";"";"";"100";"3,56";"-90,84";"-46,28";"";"58,64";"58,64";"101,36";"";"22,58";"126,71";"6 656";"24,85";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 17,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"13";"1";"233,74";"";"-78,63";"-70,32";"";"";"-8,31";"";"";"7,69";"-";"-14,73";"-102,83";"-25,87";"";"11,68";"11,68";"37,55";"";"5,00";"45,15";"8 833";"33,64";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"13";"";"246,74";"";"-41,33";"-41,33";"";"";"";"";"";"";"-";"";"-94,67";"-33,67";"";"77,07";"77,07";"110,74";"";"31,24";"228,90";"17 592";"16,75";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"12";"";"191,76";"";"-35,13";"-35,13";"";"";"";"";"";"";"-";"";"-91,36";"-33,6";"";"31,67";"31,67";"65,27";"";"16,52";"94,26";"13 020";"18,32";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"11";"";"252,78";"";"-14,1";"-14,1";"";"";"";"";"";"";"-";"";"-87,78";"-46,31";"";"104,59";"104,59";"150,9";"";"41,38";"225,85";"21 534";"5,58";"";""
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"11";"";"241,78";"";"-33,64";"-33,64";"";"";"";"";"";"";"-";"";"-85,28";"-35,86";"";"87,00";"87,00";"122,86";"";"35,98";"242,61";"3 351";"13,91";"";""
"NewEleven Gifts For Mom - Birthday Gifts For Mom From Kids – Unique Birthday Present Ideas For Mother, New Mom, Mom To Be, Wife From Daughter, Son, Husband - 16 Oz Coffee Glass COG: 2,25 / Price: 16,98";"B0C9BZRC4K";"YM-PHWT-7K9Y";"9";"";"152,82";"-5,94";"-7,8";"-7,8";"";"";"";"";"";"";"-";"";"-69";"-20,25";"";"49,83";"49,83";"70,08";"";"32,61";"246,07";"32 427";"5,10";"";""
