"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"5";"";"114,9";"";"";"";"";"";"";"";"";"";"-";"";"-41,59";"-9,8";"";"63,51";"63,51";"73,31";"";"55,27";"648,06";"8 653";"";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"3";"";"56,94";"";"";"";"";"";"";"";"";"";"-";"";"-21,84";"-7,77";"";"27,33";"27,33";"35,1";"";"48,00";"351,74";"19 010";"";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"3";"";"68,94";"";"";"";"";"";"";"";"";"";"-";"";"-24,96";"-10,5";"";"33,48";"33,48";"43,98";"";"48,56";"318,86";"12 136";"";"";""
"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card COG: 0,42 / Price: 6,99";"B0FC5SSDXK";"D0-B6A7-C5GP";"3";"";"20,97";"";"";"";"";"";"";"";"";"";"-";"";"-10,32";"-1,26";"";"9,39";"9,39";"10,65";"";"44,78";"745,24";"20 664";"";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"2";"";"33,96";"";"";"";"";"";"";"";"";"";"-";"";"-13,94";"-6,78";"";"13,24";"13,24";"20,02";"";"38,99";"195,28";"10 977";"";"";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"2";"";"39,96";"";"";"";"";"";"";"";"";"";"-";"";"-14,88";"-6,58";"";"18,50";"18,50";"25,08";"";"46,30";"281,16";"3 818";"";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"2";"";"45,96";"";"";"";"";"";"";"";"";"";"-";"";"-20,74";"-8,96";"";"16,26";"16,26";"25,22";"";"35,38";"181,47";"23 090";"";"";""
"NewEleven 40th Birthday Gifts for Men Women - 1985 40 Year Old Gifts for Men, Women, Dad, Mom, Husband, Wife - Retro Trucker Hat COG: 1,89 / Price: 16,98";"B0DHC932W2";"HO-F3TN-5J1L";"2";"";"33,96";"";"";"";"";"";"";"";"";"";"-";"";"-16,92";"-3,78";"";"13,26";"13,26";"17,04";"";"39,05";"350,79";"162 377";"";"";""
"NewEleven Best Friends Gift - Heartfelt Message, Birthday Card For Friend - Best Friend Birthday Gifts For Women, Men, Meaningful Gift From Friends - Greeting Card COG: 0,39 / Price: 7,99";"B0FC6158DB";"6B-3XRW-U6OQ";"2";"";"15,98";"";"";"";"";"";"";"";"";"";"-";"";"-7,2";"-0,78";"";"8,00";"8,00";"8,78";"";"50,06";"1 025,64";"9 083";"";"";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"1";"";"22,98";"";"";"";"";"";"";"";"";"";"-";"";"-7,98";"-4,21";"";"10,79";"10,79";"15";"";"46,95";"256,29";"24 740";"";"";""
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,63 / Price: 19,98";"B092HNBJT6";"W7-BHYY-1NZC";"1";"";"19,98";"";"";"";"";"";"";"";"";"";"-";"";"-7,44";"-4,63";"";"7,91";"7,91";"12,54";"";"39,59";"170,84";"31 664";"";"";""
"NewEleven Gift For Brother From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law - Funny Gag Gifts For Men - 20 Oz Tumbler COG: 4,4 / Price: 19,98";"B09792XF8F";"CC-VIYV-1LFP";"1";"";"19,98";"";"";"";"";"";"";"";"";"";"-";"";"-7,85";"-4,4";"";"7,73";"7,73";"12,13";"";"38,69";"175,68";"22 342";"";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98";"B0BYCT1SRJ";"LH-BSSY-KKX9";"1";"";"15,98";"";"";"";"";"";"";"";"";"";"-";"";"-7,61";"-2,23";"";"6,14";"6,14";"8,37";"";"38,42";"275,34";"37 060";"";"";""
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Aunt, New Auntie, Sister - Aunty Birthday Gift, Announcement, Promoted To Auntie, Best Aunty Ever - 20 Oz Tumbler COG: 3,83 / Price: 15,98";"B0C9D2PHMH";"GX-USB4-E6T8";"1";"";"15,98";"";"";"";"";"";"";"";"";"";"-";"";"-7,16";"-3,83";"";"4,99";"4,99";"8,82";"";"31,23";"130,29";"22 342";"";"";""
