(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,208,3,4.02%,3.90%,281,3,4.19%,3.00%,100.00%,100.00%,50,2,24.04%,66.67%,"$1,149.00",$45.96,50,2
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,139,2,2.69%,2.60%,193,2,2.88%,2.00%,100.00%,100.00%,38,0,27.34%,0.00%,$759.24,$0.00,38,0
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,143,4,2.76%,5.19%,210,5,3.13%,5.00%,100.00%,100.00%,28,2,19.58%,50.00%,$643.44,$45.96,28,2
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,133,2,2.57%,2.60%,178,3,2.66%,3.00%,100.00%,100.00%,25,0,18.80%,0.00%,$424.50,$0.00,24,0
B0FJYFJ3WN,B0F18PVLJ1,"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler",WD-3UXP-TSPV,85,4,1.64%,5.19%,113,5,1.69%,5.00%,100.00%,100.00%,22,2,25.88%,50.00%,$505.56,$45.96,22,2
B0F9W75LLW,B0CG8N67SJ,"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler",FQ-Q5JW-E8TK,140,1,2.71%,1.30%,180,1,2.69%,1.00%,98.83%,100.00%,19,0,13.57%,0.00%,$379.62,$0.00,19,0
B0DVZ28QXB,B0CQJZP6TK,"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass",FJ-K5JP-AWYT,75,1,1.45%,1.30%,117,1,1.75%,1.00%,100.00%,0.00%,18,0,24.00%,0.00%,$287.64,$0.00,18,0
B0FHKT7T9Q,B0FC6DJMD9,"NewEleven Gifts For Mom - Heartfelt Message, Birthday Card For Mom From Daughter, Son, Kids - Meaningful Gift, Unique Present For Mother - Greeting Card",1E-URHL-R626,71,0,1.37%,0.00%,91,0,1.36%,0.00%,100.00%,0.00%,18,0,25.35%,0.00%,$107.82,$0.00,18,0
B0FG7QMV1Y,B0D7HMXCSP,"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle",UB-TA3P-4YBQ,94,1,1.82%,1.30%,126,1,1.88%,1.00%,100.00%,0.00%,16,0,17.02%,0.00%,$255.68,$0.00,16,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,72,4,1.39%,5.19%,106,5,1.58%,5.00%,100.00%,100.00%,16,1,22.22%,25.00%,$351.68,$21.98,16,1
B0D83GTKZK,B08R8R2LQF,"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler",JC-JMFX-W7IY,35,1,0.68%,1.30%,42,2,0.63%,2.00%,100.00%,100.00%,16,0,45.71%,0.00%,$367.68,$0.00,15,0
B0DKDWHJ2P,B0CRVTN11L,"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass",Y1-7KOS-V5KR,194,2,3.75%,2.60%,291,2,4.34%,2.00%,47.84%,0.00%,15,0,7.73%,0.00%,$239.70,$0.00,15,0
B0FFH2DPYK,B089QFYLFB,"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler",XH-ELQT-PEJ2,51,1,0.99%,1.30%,69,1,1.03%,1.00%,98.31%,100.00%,14,0,27.45%,0.00%,$279.72,$0.00,14,0
B0FH6R5YTH,B0FC69Q8BS,"NewEleven Retirement Gift For Woman, Men - Heartfelt Message, Retirement Card For Boss, Friend - Coworker Leaving Gifts For Women From Friends, Colleague - Greeting Card",ZB-KCAW-W2E3,110,2,2.13%,2.60%,146,2,2.18%,2.00%,100.00%,100.00%,15,2,13.64%,100.00%,$89.85,$11.98,14,1
B0FH6R5YTH,B0FC69R4PK,"NewEleven Retirement Gift For Woman - Retirement Card For Women, Men, Boss - Funny Retirements Gifts For Men, Farewell Gifts For Coworkers From Work Bestie, Colleague - Greeting Card",A9-HSHI-ATQO,93,1,1.80%,1.30%,117,1,1.75%,1.00%,100.00%,100.00%,14,0,15.05%,0.00%,$83.86,$0.00,14,0
B0FJDY1LNS,B08ZRWW1W4,"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler",A6-H1II-ZKFG,77,2,1.49%,2.60%,99,4,1.48%,4.00%,100.00%,100.00%,12,0,15.58%,0.00%,$275.76,$0.00,12,0
