(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,164,4,2.88%,5.26%,238,4,3.31%,4.21%,100.00%,100.00%,44,1,26.83%,25.00%,"$1,011.12",$22.98,43,1
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,149,5,2.62%,6.58%,225,8,3.13%,8.42%,100.00%,100.00%,26,1,17.45%,20.00%,$441.48,$16.98,24,1
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,142,1,2.50%,1.32%,175,1,2.44%,1.05%,100.00%,100.00%,22,0,15.49%,0.00%,$439.56,$0.00,22,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,113,0,1.99%,0.00%,160,0,2.23%,0.00%,100.00%,0.00%,19,0,16.81%,0.00%,$417.62,$0.00,19,0
B0FH6R5YTH,B0FC69Q8BS,"NewEleven Retirement Gift For Woman, Men - Heartfelt Message, Retirement Card For Boss, Friend - Coworker Leaving Gifts For Women From Friends, Colleague - Greeting Card",ZB-KCAW-W2E3,129,2,2.27%,2.63%,186,2,2.59%,2.11%,100.00%,100.00%,19,0,14.73%,0.00%,$113.81,$0.00,19,0
B0FCLHRJ36,B0FCLHRJ36,"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card",0M-ATAJ-MC5Y,170,1,2.99%,1.32%,232,1,3.23%,1.05%,99.47%,0.00%,25,0,14.71%,0.00%,$249.75,$0.00,19,0
B0FFH2DPYK,B089QFYLFB,"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler",XH-ELQT-PEJ2,50,2,0.88%,2.63%,60,4,0.84%,4.21%,100.00%,100.00%,17,1,34.00%,50.00%,$339.66,$19.98,17,1
B0FH6R5YTH,B0FC69R4PK,"NewEleven Retirement Gift For Woman - Retirement Card For Women, Men, Boss - Funny Retirements Gifts For Men, Farewell Gifts For Coworkers From Work Bestie, Colleague - Greeting Card",A9-HSHI-ATQO,86,1,1.51%,1.32%,107,1,1.49%,1.05%,100.00%,100.00%,17,0,19.77%,0.00%,$101.83,$0.00,17,0
B0F9W75LLW,B0CG8N67SJ,"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler",FQ-Q5JW-E8TK,136,1,2.39%,1.32%,175,2,2.44%,2.11%,95.81%,100.00%,16,1,11.76%,100.00%,$319.68,$19.98,16,1
B0FFH2DPYK,B08R8PXYL6,"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler",ZG-6MPB-F5JV,61,2,1.07%,2.63%,72,2,1.00%,2.11%,98.53%,100.00%,17,0,27.87%,0.00%,$339.66,$0.00,15,0
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,138,1,2.43%,1.32%,202,1,2.81%,1.05%,100.00%,100.00%,15,0,10.87%,0.00%,$344.70,$0.00,15,0
B0FJDY1LNS,B08ZRWW1W4,"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler",A6-H1II-ZKFG,62,1,1.09%,1.32%,79,2,1.10%,2.11%,100.00%,0.00%,12,0,19.35%,0.00%,$275.76,$0.00,12,0
B0FD9QBGZH,B0DHCGTL3R,"NewEleven 70th Birthday Gifts For Men Women - 1955 70th Birthday Decorations - Gifts For Men Women Turning 70-70 Year Old Gifts For Man, Woman - 20 Oz Tumbler",DF-AWOB-F9BG,31,1,0.54%,1.32%,48,1,0.67%,1.05%,100.00%,100.00%,13,1,41.94%,100.00%,$259.74,$19.98,12,1
